
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Neu
tactical_docked                         — ANGEKOPPELT —
tactical_undock                         ABKOPPELN
tactical_throttle                       LEISTUNG
tactical_detach_all                     ALLE ABTRENNEN
tactical_velocity                       GESCHWINDIGKEIT
tactical_evasion                        AUSWEICHEN
tactical_weapons                        WAFFEN
tactical_fire                           FEUERN
tactical_hold                           HALTEN
tactical_maneuvering                    MANÖVRIERT
tactical_damaged                        BESCHÄDIGT
tactical_reloading                      LÄDT NACH
tactical_lowpower                       ENERGIE GEHT ZUR NEIGE

# =============================================================================
# Logistics Window
# =============================================================================

logisticswindow_title                   LOGISTIK

logistics_tooltip_transfer              [LMT] 1 von diesem Schiff übernommen: *X


# =============================================================================
# Missions / Contracts
# =============================================================================

missions_title							VERTRÄGE
mission_accept							Annehmen
mission_accepted						Angenommen
mission_acceptonlayer                   Annehmen und zuweisen: *X
mission_assignedtolayer                 Angenommen und zugewiesen: L*X
mission_cannotassigntolayer             Kann *X nicht zugewiesen werden

mission_episode_1                       EPISODE 1
mission_deliver							Liefern
mission_turnin							Vertrag abschließen
mission_completed						ABGESCHLOSSEN
mission_missioncompleted                VERTRAG ABGESCHLOSSEN
mission_paymenttitle                    Bezahlung
mission_paymentcash                     HONORAR: *X
mission_payment							Das wird *X $ kosten.
mission_paymentinflation                (Der Auftraggeber bietet das *Xfache des üblichen Betrags.)
mission_paymentinflationpercent         (Der Auftraggeber bietet *X % mehr als sonst.)
mission_contractcompleted				Vertrag abgeschlossen
mission_cannotaccept                    Du kannst diese Mission nicht annehmen.
mission_special                         Sondermission
mission_new                             NEU
mission_illegal                         ILLEGALE AKTIVITÄT
mission_assignedto                      (Zugewiesen: *X)
mission_recovered                       WIEDERHERGESTELLT
mission_delivered                       GELIEFERT
mission_collected                       GESAMMELT
mission_showonmap                       AUF KARTE ANZEIGEN
mission_youarehere                      DU BIST HIER
mission_courseplotted                   KURS GEPLANT
mission_onroute                         AUF DER STRECKE
mission_reward                          ZAHLUNG

mission_requires_equipment              Vertrag erfordert Ausrüstung: *X
mission_requires_stock                  Vertrag erfordert *X
mission_requires_combatvessel           Vertrag erfordert bewaffnetes Kampfschiff.
mission_requires_cabinspace             Vertrag erfordert mindestens *X freie Kabinen.
mission_requires_combatrating           Du brauchst einen Kampfwert von mindestens *X.
mission_requires_industryrating         Du brauchst einen Industriewert von mindestens *X.
mission_requires_logisticsrating        Du brauchst einen Logistikwert von mindestens *X.
mission_requires_humanitarianrating     Du brauchst eine Humanitäre Wert von mindestens *X.
mission_requires_notindemo              Für Demo-Spieler nicht verfügbar
mission_difficulty                      Diese Mission hat den Schwierigkeitsgrad „*X“.
mission_difficulty_short                SCHWIERIGKEIT *X

mission_requirement_passed              [ERFÜLLT]
mission_requirement_failed              [FEHLGESCHLAGEN]
mission_show_completed                  ABGESCHLOSSENE ANZEIGEN

mission_type_delivery					Lieferung
mission_delivery_title					Kuriermission: Liefere Fracht in ein nahe gelegenes System.
mission_delivery_titlefurther			Liefere Fracht in ein anderes System.
mission_delivery_description			Ich habe *X Kisten mit Vorräten, die ausgeliefert werden müssen.
mission_delivery_descriptionfurther		Der Zielort ist *Y Sektorsprünge weit entfernt im Sektor *X.
mission_delivery_destination			Der Zielort befindet sich in aktuellen Sektor im Sternensystem *X.
mission_delivery_timed                  Diese Waren werden sofort benötigt. Dir stehen nur *X Minuten zur Verfügung (+50 % Honorar).
mission_delivery_timeremaining          Du musst innerhalb der nächsten *X Sekunden die Lieferung durchführen!
mission_delivery_outoftime              Es ist zu spät. Für die restliche Ladung wirst du nicht mehr bezahlt.
mission_delivery_shuttle				Ein Shuttle mit den Vorräten ist jetzt zu dir unterwegs.
mission_delivery_delivery				*X von *Y Gegenständen geliefert.
mission_delivery_alldelivered			Die gesamte Fracht ist geliefert worden. Viel Glück!
mission_delivery_turnin					Ein Shuttle ist unterwegs, um die Fracht abzuholen.
mission_delivery_received				*X von *Y Gegenständen erhalten. Fällige Gesamtzahlung: *Z $.
mission_delivery_toolate                *X von *Y Gegenständen erhalten, das Zeitlimit ist jetzt jedoch überschritten.
mission_delivery_lost                   Die verbleibenden *X Gegenstände der Fracht sind unauffindbar.
mission_delivery_wrongdestination       Ein Teil der Ladung wurde an den falschen Ort geliefert. Du erhältst keine Bezahlung.
mission_delivery_success                *X von *Y Artikeln geliefert
mission_delivery_location               Reise zum Liefersystem

mission_type_passengers					Passagiere befördern
mission_passengers_title				Dringende Anfrage zur Personenbeförderung
mission_passengers_titlefurther			Einige Passagiere benötigen einen sektorübergreifenden Transport.
mission_passengers_description			Eine Gruppe von *X Zivilisten hätte gerne eine sichere Transportmöglichkeit.
mission_passengers_descriptionfurther	Ihr Zielort ist *Y Sektorsprünge entfernt, und zwar in Sektor *X.
mission_passengers_destination			Ihr Zielort liegt im aktuellen Sektor. Setze sie im Sternensystem *X ab.
mission_passengers_requirements         In den Quartieren deines Schiffs muss es genügend freie Kabinen geben.
mission_passengers_shuttle				Sie sind jetzt auf dem Weg zu dir und werden in Kürze ankoppeln.
mission_passengers_delivery				*X von *Y Passagieren sind an Bord.
mission_passengers_alldelivered			Das wars. Alle Passagiere sind an Bord des Schiffs. Gute und sichere Reise!
mission_passengers_turnin				Willkommen! Wir haben ein Shuttle losgeschickt, um die Passagiere abzuholen.
mission_passengers_received				*X Passagiere von *Y haben es sicher an den Zielort geschafft. Fällige Gesamtzahlung: *Z $.
mission_passengers_lost                 *X Passagiere sind nicht sicher am Zielort angekommen.
mission_passengers_wrongdestination     Die Fahrgäste wurden am falschen Zielort abgesetzt! Für diesen Transport wirst du nicht bezahlt.
mission_passengers_success              *X von *Y Passagieren befördert
mission_passengers_collection           Sammel alle Passagiere
mission_passengers_location             Transportiere die Passagiere zum Ziel

mission_type_refugees                   Geflüchtete
mission_refugees_title                  Nimm Geflüchtete in deine Obhut.
mission_refugees_description            Hier leben *X Zivilisten, die keinen Ausweg mehr haben und denen jegliche Möglichkeit fehlt, der Leere rechtzeitig zu entkommen.
mission_refugees_description2           Ihre Heimat wurde zerstört. Bringe sie in deiner Flotte unter und kümmere dich um sie. Unsere Dankbarkeit ist dir sicher.
mission_refugees_requirements           In den Quartieren deines Schiffs muss es genügend freie Kabinen geben.
mission_refugees_alldelivered			Die Geflüchteten sind alle an Bord. Wir wünschen dir viel Glück!
mission_refugees_received               *X von *Y Passagieren sind an Bord. Gesamtzahlung: *Z $.

mission_type_rescue                     Rettungsaktion
mission_rescue_title                    Rette Zivilisten aus einem Schiffswrack.
mission_rescue_description1             Der Antrieb eines Schiffs ist ausgefallen und die Crew muss dringend gerettet werden.
mission_rescue_description2             Das beschädigte Schiff ist in der Nähe im System *X. Beeil dich!
mission_rescue_description2b            Das Schiff befindet sich im nächsten Sektor.
mission_rescue_description3             Es sind *X Crewmitglieder an Bord. Sie müssen irgendwo in der Nähe sicher abgesetzt werden.
mission_rescue_timed                    Das Schiffstriebwerk wird sehr bald in die Luft fliegen. (+25 % Honorar)
mission_rescue_meteors                  Berichten zufolge gibt es in diesem Bereich einen Meteoritenschauer. (+25 % Honorar).
mission_rescue_thrust                   Das Schiff ist in Bewegung. Du wirst etwas Geschick benötigen, um sicher anzukoppeln. (+25 % Honorar)
mission_rescue_spin                     Das Schiff dreht sich unkontrolliert. Das Ankoppeln wird eine ziemliche Herausforderung darstellen. (+25 % Honorar)
mission_rescue_hostiles                 In dieser Gegend befinden sich gegnerische Streitkräfte. (+50 % Honorar)
mission_rescue_requirements             Du benötigst Manövrierdüsen, um erfolgreich an das beschädigte Schiff anzukoppeln.
mission_rescue_accepted                 Wir haben die Position des Schiffswracks auf der Karte markiert. Bitte beeil dich!
mission_rescue_rescued                  *X von *Y Crewmitglieder wurden gerettet und befinden sich an Bord.
mission_rescue_allrescued               Alle Crewmitglieder des Schiffs wurden gerettet! Setze sie bei der nächsten Sternenbasis oder Kolonie ab.
mission_rescue_received                 *X von *Y Crewmitglieder habe es geschafft und sind in Sicherheit. Gesamtzahlung: *Z $.
mission_rescue_lost                     *X Crewmitglieder sind nicht heil angekommen.
mission_rescue_timer                    Der Antriebskern des Schiffes wird in *X Sekunden explodieren!
mission_rescue_location                 Reise zum gestrandeten Schiff

mission_type_combat                     Kampf
mission_combat_title_mines              Räume ein gefährliches Minenfeld.
mission_combat_title_roguefighters      Greife abtrünnige Jäger an und vernichte sie.
mission_combat_title_pirategang         Schalte eine Piratenbande aus.
mission_combat_title_armouredthugs      Beseitige eine gepanzerte Schlägertruppe.
mission_combat_title_mercenarystation   Zerstöre die Waffenplattform der gegnerischen Söldner.
mission_combat_title_communityships     Greife eine feindliche Piratenbande an und vernichte sie
mission_combat_description1             In einem nahen Sternensystem dieses Sektors geht eine kleine Flotte gegnerischer Schiffe illegalen Aktivitäten nach.
mission_combat_description2             Sie schikanieren schon viel zu lange humanitäre sowie Handelsraumschiffe.
mission_combat_description3             Reise in das System, kämpfe gegen sie und zerstöre sie.
mission_combat_requirements             Du benötigst ein bewaffnetes Kriegsschiff, um diese Mission anzunehmen.
mission_combat_piratecount              Berichten zufolge besteht die gegnerische Flotte aus *X Schiffen. Sie halten sich im Sternensystem *Y versteckt.
mission_combat_mines_description1       Die Piraten haben ein gefährliches Minenfeld in einer häufig genutzten Handelsroute gelegt.
mission_combat_mines_description2       Anscheinend wollen sie die Handelsschiffe, die hineingeraten, lahmlegen, um sie dann in aller Ruhe ausrauben zu können.
mission_combat_mines_description3       Begib dich zu dem System und zerstöre das Minenfeld, bevor die Piraten auftauchen.
mission_combat_mines_requirement        Du benötigst ein Waffensystem, um die Minen aus der Ferne zu zerstören.
mission_combat_accept                   Wir haben den Standort der gegnerischen Truppen auf der Karte vermerkt. Viel Erfolg!
mission_combat_attacknow                Du hast die gegnerischen Streitkräfte ausfindig gemacht. Vernichte sie mit sofortiger Wirkung!
mission_combat_destroyed                Du hast *X von *Y Gegnern vernichtet. Die Gesamtsumme des ausgezahlten Kopfgelds beläuft sich auf *Z $.
mission_combat_alldestroyed             Alle gegnerischen Streitkräfte wurden vernichtet.
mission_combat_failure                  Die verbliebenen Gegner sind geflohen.
mission_combat_success                  *X/*Y Feinde vernichtet
mission_combat_location                 Die feindlichen Schiffe befinden sich im System *X.
mission_combat_objective                Finde und bekämpfe feindliche Kräfte

mission_type_industry                   Asteroidenabbau
mission_industry_title                  Ressourcenabbau-Vertrag: Baue wichtige Mineralien ab.
mission_industry_refined_title          Baue wichtige Ressourcen ab und veredle sie.
mission_industry_description            Die Nachfrage nach FTL-Brennstoffzellen zum Betrieb der Evakuierungsschiffe ist groß.
mission_industry_description2           Wir sind in der Lage, FTL-Treibstoff herzustellen, allerdings benötigen wir dazu Tilium. Dieses Erz findet man nur in bestimmten Asteroidengürteln.
mission_industry_description3           Glücklicherweise gibt es genau so einen Asteroidengürtel nicht weit von hier in diesem Sektor. Du findest ihn im System *X.
mission_industry_description3b          Der nächstgelegene Asteroidengürtel befindet sich im nächsten Sektor.
mission_industry_tiliumrequired         Begib dich zum Asteroidengürtel und baue *X Tiliumerz ab.
mission_industry_refinedrequired        Veredle das abgebaute Erz anschließend in einem Schmelzofen.
mission_industry_description4           Liefere das Erz danach an einem beliebigen Handelsposten und du erhältst dein Honorar.
mission_industry_requirements           Für diesen Auftrag ist ein geeignetes Bergbauschiff erforderlich, das mit Bergbaulasern und Logistikdrohnen ausgestattet ist.
mission_industry_accepted1              Wir haben die Position des Asteroidengürtels auf der Karte markiert.
mission_industry_gathered               Dieses Schiff hat *X Tiliumerz geladen. (Wir benötigen *Y.)
mission_industry_received               Wir haben *X von *Y Tilium erhalten. Das Gesamthonorar beläuft sich auf *Z $.
mission_industry_meteorshower           ACHTUNG: Berichten zufolge gibt es in dem System einen Meteoritenschauer. (+50 % Honorar).
mission_industry_hostiles               ACHTUNG: In der Nähe des Asteroidengürtels befinden sich gegnerische Streitkräfte. (+50 % Honorar)
mission_industry_refined                #ERROR!
mission_industry_shuttle                Wir haben ein Shuttle losgeschickt, um das Tiliumerz abzuholen.
mission_industry_lost                   Dein Schiff hat kein Tilium mehr geladen.
mission_industry_success                *X/*Y Erz abgebaut
mission_industry_location               Reise zum Asteroidengürtel

mission_type_production                 Produktion
mission_production_title                Produktionsvertrag: Ressourcen verarbeiten
mission_production_description1         Wir benötigen dringend *X Stapel R*Y.
mission_production_description2         Stelle das Produkt entweder aus Rohstoffen selbst her oder beschaffe es auf andere Weise.
mission_production_marketprice          Der Marktpreis für diese Gegenstände ist *X $.
mission_production_markup               (Unser Angebot ist *X % höher als der Marktpreis, da wir dringenden Bedarf haben.)
mission_production_available            In deiner Flotte stehen *X Stapel R*Y zur Weitergabe zur Verfügung. (Wir benötigen *Z.)
mission_production_received             Wir haben *X von insgesamt *Z Stapeln R*Y erhalten.
mission_production_nomore               Die Ressource R*X ist in deiner Flotte nicht mehr verfügbar.
mission_production_success              *X/*Y Gegenstände bereitgestellt
        
mission_type_SectorDestroy              Vernichte gegnerische Truppen.
mission_sectordestroy_title             ZIELVORGABE FÜR DIESEN SEKTOR: Vernichte alle gegnerischen Streitkräfte.
mission_sectordestroy_system            Du hast die gegnerischen Streitkräfte im System *X vernichtet. Das Honorar in Höhe von *Y $ ist unterwegs.
mission_sectordestroy_progress          *X von *Y Systemen gesichert
mission_sectordestroy_desc1             In diesem Sektor haben sich gegnerische Streitkräfte niedergelassen. Sie behindern unsere Evakuierungsbemühungen und stehlen wichtige Ressourcen.
mission_sectordestroy_desc2             Überprüfe jede Position, die auf der Karte mit GEGNER markiert ist.
mission_sectordestroy_desc3             Schalte alle gegnerischen Schiffe aus, die du vorfindest.
mission_sectordestroy_payment           Nach Sicherung einer Position werden jeweils *X $ gezahlt, insgesamt für alle Positionen also *Y $.
mission_sectordestroy_map               Gegner vernichten [*X/*Y]
mission_sectordestory_success           GEGNER ELIMINIERT

mission_type_SectorRescue               Rettung (Sektor)
mission_sectorrescue_title              ZIELVORGABE FÜR DIESEN SEKTOR: Rette Zivilisten aus einem Schiffswrack.
mission_sectorrescue_description1       Gehe einem Notruf im System *X nach.
mission_sectorrescue_thrusters          NB. SIE BENÖTIGEN STEUERRAKETEN, UM IN DIE POSITION ZU MANÖVIEREN.
mission_sectorrescue_timed              Das Schiffstriebwerk wird sehr bald in die Luft fliegen. (+25 % Honorar)
mission_sectorrescue_meteors            Berichten zufolge gibt es in diesem Bereich einen Meteoritenschauer. (+25 % Honorar).
mission_sectorrescue_thrust             Das Schiff ist in Bewegung. Du wirst etwas Geschick benötigen, um sicher anzukoppeln. (+25 % Honorar)
mission_sectorrescue_spin               Das Schiff dreht sich unkontrolliert. Das Ankoppeln wird eine ziemliche Herausforderung darstellen. (+25 % Honorar)
mission_sectorrescue_hostiles           In dieser Gegend befinden sich gegnerische Streitkräfte. (+50 % Honorar)
mission_sectorrescue_requirements       Du benötigst Manövrierdüsen, um erfolgreich an das beschädigte Schiff anzukoppeln.
mission_sectorrescue_accepted           Wir haben die Position des Schiffswracks auf der Karte markiert. Bitte beeil dich!
mission_sectorrescue_rescued            *X von *Y Crewmitglieder wurden gerettet und befinden sich an Bord.
mission_sectorrescue_allrescued         Alle Crewmitglieder des Schiffs wurden gerettet! Setze sie bei der nächsten Sternenbasis oder Kolonie ab.
mission_sectorrescue_received           *X von *Y Crewmitglieder habe es geschafft und sind in Sicherheit. Ausstehendes Honorar: *Z $.
mission_sectorrescue_lost               *X Crewmitglieder sind nicht heil angekommen.
mission_sectorrescue_timer              Der Antriebskern des Schiffes wird in *X Sekunden explodieren!
mission_sectorrescue_map_initial        Gehe dem Notruf nach.
mission_sectorrescue_map                Gerettete [*X/*Y]
mission_sectorrescue_awardcaption       *X Gerettete.
mission_sectorrescue_success            RETTUNG ABGESCHLOSSEN


mission_type_sectorevacuate             Evakuiere den Sektor.
mission_sectorevacuate_title            ZIELVORGABE FÜR DIESEN SEKTOR: Evakuiere gestrandete Zivilisten.
mission_sectorevacuate_description      Es gibt *X Zivilisten und Zivilistinnen, die in dem Sektor gestrandet sind und keine Möglichkeit haben, der anstehenden Katastrophe zu entkommen.
mission_sectorevacuate_description2     Hole sie in ihren Sternensystemen ab und bringe sie vorübergehend in deiner Flotte unter.
mission_sectorevacuate_description3     Bringe sie sicher in den nächsten Sektor und lade sie an der ersten Sternenbasis aus. Damit ist dann das Ziel der Mission erreicht.
mission_sectorevacuate_requirements     In den Quartieren deines Schiffs muss es genügend freie Kabinen geben.
mission_sectorevacuate_requirements2    (In einer Werft kannst du deine Quartiere mithilfe des Schiffseditors erweitern.)
mission_sectorevacuate_payment          Das Gesamthonorar für die Rettung aller *X Zivilisten beträgt *Y $.
mission_sectorevacuate_received         *X von *Y Zivilisten wurden an Bord genommen.
mission_sectorevacuate_died             *X Zivilisten wurden bei der Evakuierung getötet.
mission_sectorevacuate_arrived          *X Passagiere von *Y haben es sicher an den Zielort geschafft. Gesamtzahlung: *Z $.
mission_sectorevacuate_lost             *X Passagiere sind nicht sicher am Zielort angekommen.
mission_sectorevacuate_finished         Danke für deinen Einsatz!
mission_sectorevacuate_map              Evakuiere Zivilisten [*X/*Y]

scienceobjective_title                  SONDERMISSION: ANALYSIERE DIE ANOMALIE.
scienceobjective_description1           Wir brauchen mehr Daten, wenn wir das Wesen dieser Anomalie verstehen wollen.
scienceobjective_description2           Und solange wir die Anomalie nicht verstehen, können wir sie nicht aufhalten.
scienceobjective_description3           Wenn du eine ausreichende Menge an wissenschaftlichen Daten für uns sammeln kannst, stehen die Chancen gut, dass wir eine Möglichkeit finden, der Anomalie entgegenzuwirken.
scienceobjective_accepted1              Wir haben ein genau abgestimmtes Sensorpaket entwickelt, das uns die benötigten Informationen liefert.
scienceobjective_accepted2              Ein Shuttle ist jetzt unterwegs und hat zwei Sensoren dieser Art an Bord.
scienceobjective_receivedsensors1       Beide Sensoren befinden sich an Bord deines Schiffes. Du musst sie montieren.
scienceobjective_installsensors         Montiere die Sensoren an deinem Schiff (*X/2).
scienceobjective_installsensors2        Stelle sicher, dass die Sensoren mit Energie versorgt werden und betriebsbereit sind.
scienceobjective_sensorsinstalled       Sensoren montiert.
scienceobjective_usesensors1            Diese Sensoren erfassen Daten der Anomalie, während du dich im Hyperraum befindest.
scienceobjective_usesensors2            Je näher du der Anomalie mit einem Hypersprung kommen kannst, desto schneller werden sie die Daten erfasst haben.
scienceobjective_capturedata            Du hast *X Daten der Anomalie erfasst.
scienceobjective_successbonus           *X Daten erfasst. Forschungsgelder in Höhe von *Y $.
scienceobjective_nextbonus              Nächster Bonus für *X erfasste Daten: *Y $.
scienceobjective_scientist              Forschungsinstitut
scienceobjective_funding                Während du Daten erfasst, können wir dir Forschungsgelder zukommen lassen. Erfasse 10 Daten der Anomalie und wir schicken dir die erste Rate der Forschungsgelder.
scienceobjective_award                  WISSENSCHAFTSPREIS
scienceobjective_success                *X Daten erfasst.

scienceobjective_milestone1a            Wir haben deine vorläufigen Sensordaten erhalten. Faszinierend! Anscheinend dehnt sich die Anomalie aus und die Geschwindigkeit, mit der sie es tut, nimmt zu.
scienceobjective_milestone1b            Wir haben dir gerade einen Wissenschaftszuschuss in Höhe von 10.000 $ ausgezahlt. Erfasse 100 Daten, um weitere Mittel freizuschalten. Je näher du der Anomalie bist, desto schneller erfassen die Sensoren die erforderlichen Daten.
scienceobjective_milestone2a            Deine Sensoren haben uns jetzt 100 Wissenschaftspakete gesendet. Vielen Dank. Für uns sind diese Daten von unschätzbarem Wert.
scienceobjective_milestone2b            Wir haben dir gerade weitere 100.000 $ geschickt. Der nächste Bonus für 1000 Sensordaten beläuft sich auf 1 Million $. Du kannst weitere Hyperraumsensoren in Sternenbasen und Kolonien kaufen.
scienceobjective_milestone3a            Deine Sensoren haben bis dato 1000 Daten der Anomalie aufgezeichnet. Unsere besten Leute arbeiten an einer Lösung und deine Daten waren dabei von unschätzbarem Wert.
scienceobjective_milestone3b            Wir überweisen dir gerade einen Wissenschaftszuschuss von 1 Million Dollar. Mach weiter so! Weitere Mittel werden bei 10.000 wissenschaftlichen Daten freigeschaltet.
scienceobjective_milestone4a            10.000 wissenschaftliche Daten erhalten. Honorar 10 Millionen $.
scienceobjective_milestone4b            Der nächste Bonus wird bei 100.000 wissenschaftlichen Daten fällig.

evacuationobjective_title               SONDERMISSION: EVAKUIERUNG
evacuationobjective_description1        Einige unserer Wissenschaftler gehen davon aus, dass der Untergang der Leere nicht aufgehalten werden kann.
evacuationobjective_description2        Sollte das stimmt, müssen Milliarden Bewohner unserer Heimatplaneten evakuiert werden.
evacuationobjective_description3        Noch nie wurden so viele Leute auf einmal evakuiert.
evacuationobjective_description4        Und dabei wissen wir nicht einmal, wo wir hin können. Wo sind wir sicher? Niemand weiß das.
evacuationobjective_accepted1           Auf jedem kolonisierten Planeten, den du besuchst, gibt es Zivilisten, die evakuiert werden müssen.
evacuationobjective_accepted2           Du wirst die Quartiere ausbauen und irgendwann sogar auf ein größeres Schiff umsteigen müssen.
evacuationobjective_total               Du hast *X Zivilisten von ihren dem Untergang geweihten Heimatwelten evakuiert.
evacuationobjective_successbonus        *X Zivilisten evakuiert. Forschungsgelder in Höhe von *Y $.
evacuationobjective_nextbonus           Nächster Bonus bei Evakuierung von *X Zivilisten: *Y $.
evacuationobjective_award               EVAKUIERUNGSBELOHNUNG
evacuationobjective_success             *X Zivilisten evakuiert.

nomadobjective_title                    SONDERMISSION: NOMADE
nomadobjective_description1             Möglicherweise werden wir die Anomalie des Untergangs der Leere nie aufhalten können.
nomadobjective_description2             Es ist möglich, dass sie sich einfach immer weiter ausdehnt. Vielleicht gibt es gar keinen Ort, an dem wir bleiben können und in Sicherheit sind.
nomadobjective_description3             Sollte das der Fall sein, werden wir uns daran gewöhnen müssen, auf unbestimmte Zeit auf autarken Schiffen zu leben.
nomadobjective_accepted1                Du musst deine Schiffe in eine Flotte verwandeln, die langfristig autark bestehen kann.
nomadobjective_accepted2                Nimm so viele Leute wie möglich mit und grübele nicht über die Vergangenheit nach.
nomadobjective_total                    Deine Flotte hat *X permanente Bewohner.
nomadobjective_successbonus             Die Bevölkerung beläuft sich auf *X Bewohner. Forschungsgelder in Höhe von *Y $.
nomadobjective_nextbonus                Nächster Bonus bei *X Bewohnern: *Y $.
nomadobjective_award                    NOMADENBELOHNUNG
nomadobjective_success                  Flottenbevölkerung von *X

# =============================================================================
# Object Types
# =============================================================================

object_airduct							Lüftungsanlage
object_airduct_description              Bringt Sauerstoff in die umliegende Kabine ein, bis die Luft sich atmen lässt. Muss über eine Rohrleitung mit Sauerstoff versorgt werden.
object_battery							Akku
object_battery_description              Speichert überschüssige Energie aus dem Energieversorgungsnetz bis zu einem Maximalwert von 1000 MW. Der Akku liefert immer dann Energie, wenn ein Engpass vorliegt.
object_box                              Kiste
object_bullets							Kugeln
object_bullets_description              Diese Kiste enthält Munition für Gatling-Kanonen. (PDC).
object_railgunshell						Railgun-Geschosse
object_railgunshell_description         Diese Kiste enthält Munition für Railguns.
object_cargo							Fracht
object_civilian							Zivilist
object_refugee                          Geflüchteter
object_crewmember						Crew
object_scientist                        Wissenschaftliches Personal
object_weaponsspecialist                Waffenoffizier
object_data                             Daten
object_deuterium                        Deuterium
object_deuterium_description            Dieser Treibstoff eignet sich für Fusionsreaktoren.
object_dockingport						Kopplungsadapter
object_dockingport_description          Über den Kopplungsadapter wird der Zugang zum Schiff ermöglicht. Hier koppeln Shuttle-Schiffe an und ab.
object_door								Tür
object_door_description                 Diese Tür mit hoher Druckdichte riegelt bei Hüllenbruch oder Feuer einzelne Bereiche ab.
object_tank								Riesiger Tank
object_tank_description                 In diesem riesigen Tank lässt sich eine große Menge an Flüssigkeit oder Gas lagern.
object_smalltank						Mittelgroßer Tank
object_smalltank_description            In diesem Tank werden Flüssigkeiten oder Gase gelagert.
object_tinytank                         Kleiner Tank
object_tinytank_description             In diesem Tank werden Flüssigkeiten oder Gase gelagert.
object_dronebay							Drohnenbucht
object_dronebay_description             Drohnenbuchten werden benötigt, um vom Schiff aus Logistikdrohnen auszusenden. Drohnen sammeln im Weltraum Rohstoffe und Bergungsgut und kehren danach über die Drohnenbucht zurück ins Schiff. Eine Drohnenbucht kann mehrere Drohnen aussenden.
object_energycell						Energiezelle
object_energytransmitter                Energiesender
object_engine							Antrieb
object_engine_description               Das Hauptantriebssystem für die Vorwärtsbewegung des Schiffs. Muss über eine Rohrleitung mit Treibstoff und über ein Kabel mit Energie versorgt werden.
object_thruster                         Steuerrakete
object_thruster_description             Manövriertriebwerk. Muss an der Wand des Schiffs befestigt werden. Sorgt für Schub, um seitliche und Rotationsbewegungen zu ermöglichen.
object_entity							Entität
object_equipment						Ausrüstung
object_fighter							Jäger
object_food                             Nahrung
object_ftlcharge						FTL-Ladung
object_ftldrive							FTL-Antrieb
object_fuel								Treibstoff
object_fusionreactor                    Fusionsreaktor
object_fusionreactor_description        Nutzt die Kernfusion von Deuterium, um große Energiemengen zu erzeugen. Allerdings muss der Fusionsreaktor mit einer großen Energiemenge „hochgefahren“ werden, bevor er selbst Strom erzeugen kann.\n\nErzeugt eine maximale Leistung von 500 MW.
object_weaponsconsole                   Waffenkontrollzentrum
object_weaponsconsole_description       Ein Terminal, an dem ein Waffenoffizier mehrere Waffen gleichzeitig steuern kann.
object_gatlinggun						Gatling-Kanone
object_gatlinggun_description           Dieses Schnellfeuerwaffensystem für den Nahbereich, das in erster Linie als Verteidigungsmaßnahme gegenüber Angriffsjägern und Artillerie entwickelt wurde. Die Gatling-Kanone eignet sich hervorragend, um sich schnell bewegende Ziele aus nächster Nähe zu zerstören. Allerdings fehlt ihr die Durchschlagskraft, um gepanzerte Ziele zu durchdringen.
object_cannon							Kanone
object_cannon_description               Dieses Waffensystem mittlerer Reichweite beschießt das Ziel massiv mit Sprenggranaten. Kanonengeschosse eignen sich hervorragend, um einem gegnerischen Schiff Flächenschaden zuzufügen und dessen Hüllenplatten zu zerstören.
object_cannonshell						Kanonengeschosse
object_mininglaser						Bergbaulaser
object_mininglaser_description          Kann für Bohrungen in den Mineralienfeldern der Asteroidengürtel eingesetzt werden, um wertvolle Mineralien zu gewinnen.
object_generator						Generator
object_hullbreach						Hüllenbruch
object_loader							Belader
object_loader_description               Es handelt sich um eine Allzweckversion des Treibstoff- und des Sauerstoffbeladers, die jegliche Art von Flüssigkeits- oder Gaskanister aufnehmen kann. Das System ist bekannt dafür, neue Kapitäne schwer zu verwirren. Verwende Rohrleitungen, um den Lader mit anderen Teilen der Ausrüstung zu verbinden.
object_fuelloader                       Treibstoffbelader
object_fuelloader_description           Ergreift einen Kanister mit Treibstoff und pumpt den Inhalt in eine Unterflurrohrleitung. Setze Rohrleitungen ein, um ihn mit dem Reaktor und den Triebwerken zu verbinden.
object_oxygenloader                     Sauerstoffbelader
object_oxygenloader_description         Ergreift einen unter Druck stehenden Kanister mit Sauerstoff und pumpt den Inhalt in eine Unterflurrohrleitung. Setze Rohrleitungen ein, um ihn mit der Lüftungsanlage zu verbinden und die Kabine mit Sauerstoff zu versorgen.
object_logisticsdrone                   Logistikdrohne
object_logisticsdrone_description       Dieser extrem nützliche, halbintelligente Roboter ist in der Lage, im Weltraum Bergungsgut einzusammeln. Kleinere Reparaturen an einer beschädigten Hülle kann er ebenfalls durchführen. Er muss von einer Drohnenbucht aus gestartet werden.
object_meteor							Meteor
object_asteroid							Asteroid
object_comet                            Komet
object_mineralpatch						Mineralienfeld
object_none								NoType
object_ordnance                         Artilleriemunition
object_oxygen							Sauerstoff
object_powercoil                        Hochspannungsspule
object_powercoilcharged                 Geladene Hochspannungsspule
object_powerinjector                    Energiespeisemodul
object_railgun							Railgun
