
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouveau
mission_requires_combatrating           Vous avez besoin d'une valeur de combat d'au moins *X
mission_requires_industryrating         Vous avez besoin d'une évaluation d'industrie d'au moins *X
mission_requires_logisticsrating        Vous avez besoin d'une note logistique d'au moins *X
mission_requires_humanitarianrating     Vous avez besoin d'une note humanitaire d'au moins *X
mission_requires_notindemo              Indisponible pour les joueurs de la démo
mission_difficulty                      Cette mission a un niveau de difficulté de *X.

mission_requirement_passed              [PASSE]
mission_requirement_failed              [ECHOUE]

mission_type_delivery					Livraison
mission_delivery_title					Mission de messagerie : livrer une cargaison au système à proximité
mission_delivery_titlefurther			Livrer du fret vers un autre secteur
mission_delivery_description			J'ai *X boîtes de fournitures à livrer.
mission_delivery_descriptionfurther		La destination est *Y Secteur Saute, dans le Secteur *X.
mission_delivery_destination			La destination est dans ce secteur, au système stellaire *X.
mission_delivery_timed                  Ces marchandises sont requises immédiatement. Vous n’aurez que *X minutes. (+50% salaire)
mission_delivery_timeremaining          Il ne vous reste que *X secondes pour effectuer la livraison !
mission_delivery_outoftime              Il est trop tard : vous ne serez plus payé pour le fret restant.
mission_delivery_shuttle				Une navette est en route vers vous avec les fournitures.
mission_delivery_delivery				Fourni *X sur *Y articles.
mission_delivery_alldelivered			Toute la cargaison a été fournie. Bonne chance.
mission_delivery_turnin					Une navette est en route pour récupérer la cargaison.
mission_delivery_received				Reçu *X articles sur *Y. Paiement total dû $*Z.
mission_delivery_toolate                Vous avez reçu *X éléments sur *Y, mais le délai est maintenant expiré.
mission_delivery_lost                   Les *X articles de fret restants sont portés disparus.
mission_delivery_wrongdestination       Une partie de la cargaison a été livrée au mauvais endroit. Vous ne serez pas payé.
mission_delivery_success                Livré *X articles sur *Y

mission_type_passengers					Transporter des passagers
mission_passengers_title				Demande urgente de transport de personnes
mission_passengers_titlefurther			Les passagers ont besoin d’un transport intersectoriel
mission_passengers_description			Il y a un groupe de civils *X qui recherchent un transit sûr.
mission_passengers_descriptionfurther	Leur destination est *Y , dans le secteur *X.
mission_passengers_destination			Leur destination est dans ce secteur. Déposez-les au système stellaire *X.
mission_passengers_requirements         Votre vaisseau aura besoin de suffisamment de cabines libres sur votre pont d'habitation.
mission_passengers_shuttle				Ils sont en route vers vous et accosteront sous peu.
mission_passengers_delivery				*X passagers sur *Y sont à bord.
mission_passengers_alldelivered			Ça y est, tous les passagers sont à bord de votre vaisseau. Voyagez en toute sécurité, commandant.
mission_passengers_turnin				Bienvenue ! Nous avons dépêché une navette pour récupérer les passagers.
mission_passengers_received				*X passagers sur *Y sont arrivés à destination en toute sécurité. Paiement total dû $*Z.
mission_passengers_lost                 *X passagers ne sont pas arrivés à destination en toute sécurité.
mission_passengers_wrongdestination     Les passagers ont été déposés à la mauvaise destination ! Vous ne serez pas payé pour ceux là.
mission_passengers_success              Transporté *X sur *Y passagers

mission_type_refugees                   Réfugiés
mission_refugees_title                  Prenez en charge les réfugiés permanents
mission_refugees_description            Nous avons *X civils vivant ici qui n'ont nulle part où aller et aucun moyen d'échapper au vide avant qu'il n'arrive.
mission_refugees_description2           Trouvez-leur une place dans votre flotte, prenez-en soin et nous vous en serons éternellement reconnaissants.
mission_refugees_requirements           Votre vaisseau aura besoin de suffisamment de cabines libres sur votre pont d'habitation.
mission_refugees_alldelivered			Tous les réfugiés sont à bord. Nous vous souhaitons bonne chance, commandant.
mission_refugees_received               *X passagers sur *Y sont à bord. Paiement total $*Z.

mission_type_rescue                     Sauvetage
mission_rescue_title                    Sauver les civils d'un vaisseau naufragé
mission_rescue_description1             Un vaisseau s'est retrouvé bloqué à cause de problèmes de moteur et l'équipage a besoin d'un sauvetage immédiat.
mission_rescue_description2             Le vaisseau endommagé se trouve à proximité dans le système *X. Dépêchez-vous!
mission_rescue_description2b            Le vaisseau est dans le secteur suivant.
mission_rescue_description3             Il y a *X membres d’équipage à bord et ils doivent être déposés en toute sécurité quelque part à proximité.
mission_rescue_timed                    Les moteurs du vaisseau vont exploser très bientôt. (+25% de salaire).
mission_rescue_meteors                  Des rapports font état d'une pluie de météores dans la région. (+25% de salaire).
mission_rescue_thrust                   Le vaisseau bouge – vous aurez besoin de bonnes compétences pour accoster en toute sécurité. (+25% de salaire)
mission_rescue_spin                     Le vaisseau est incontrôlable. Il sera très difficile d'accoster. (+25% de salaire)
mission_rescue_hostiles                 Il y a des forces hostiles dans la région. (+50% salaire)
mission_rescue_requirements             Vous aurez besoin de propulseurs de manœuvre pour réussir à vous amarrer au vaisseau endommagé.
mission_rescue_accepted                 Nous avons marqué l'emplacement du vaisseau naufragé sur votre carte. Faites vite !
mission_rescue_rescued                  *X membres d'équipage sur *Y ont été secourus et sont à bord.
mission_rescue_allrescued               Tout l'équipage a été sauvé du vaisseau ! Déposez-les à la base stellaire ou à la colonie la plus proche.
mission_rescue_received                 *X membres d'équipage sur *Y sont en sécurité. Paiement total dû $*Z.
mission_rescue_lost                     *X membre d'équipage ne sont pas arrivé sain et sauf.
mission_rescue_timer                    Le moteur du vaisseau explosera dans *X secondes !!

mission_type_combat                     Combat
mission_combat_title_mines              Dégagez un champ de mines dangereux
mission_combat_title_roguefighters      Attaquez et détruisez les scélérats
mission_combat_title_pirategang         Neutraliser un gang de pirates
mission_combat_title_armouredthugs      Eradiquer les vaisseaux blindés
mission_combat_title_mercenarystation   Détruisez la plate-forme mercenaire
mission_combat_title_communityships     Attaquez et détruisez un gang de pirates
mission_combat_description1             Il existe une petite flotte de vaisseaux hostiles opérant illégalement sur un système stellaire voisin de ce secteur.
mission_combat_description2             Cela fait trop longtemps qu’ils harcèlent les vaisseaux commerciaux et humanitaires.
mission_combat_description3             Voyagez dans le système, engagez le combat et détruisez-les.
mission_combat_requirements             Vous aurez besoin d'un vaisseau de combat armé pour accepter cette mission.
mission_combat_piratecount              Les rapports suggèrent qu'il y a *X vaisseaux dans la flotte hostile, cachés dans le système stellaire *Y.
mission_combat_mines_description1       Les forces pirates ont créé un dangereux champ de mines sur une voie de navigation très fréquentée.
mission_combat_mines_description2       Leur objectif semble être de paralyser tous les vaisseaux commerciaux qui s'approchent trop près, puis de voler leur marchandise.
mission_combat_mines_description3       Voyagez dans le système et détruisez le champ de mines avant que les forces pirates n'apparaissent.
mission_combat_mines_requirement        Vous aurez besoin d'un système d'armes pour détruire les mines à distance.
mission_combat_accept                   Nous avons marqué l'emplacement des forces hostiles sur votre carte. Bonne chasse.
mission_combat_attacknow                Vous avez localisé les forces hostiles ! Détruisez-les immédiatement.
mission_combat_destroyed                Vous avez détruit *X hostiles sur *Y
mission_combat_alldestroyed             Toutes les forces hostiles ont été détruites. Paiement total $*X.
mission_combat_failure                  Les forces hostiles restantes se sont échappées.
mission_combat_success                  Détruire les ennemis : *X/*Y
mission_combat_location                 Les vaisseaux hostiles sont situés dans le système *X.

mission_type_industry                   Exploitation d'astéroïdes
mission_industry_title                  Contrat minier : extraire des minéraux critiques
mission_industry_refined_title          Extraire et affiner les ressources critiques
mission_industry_description            Il existe une énorme demande de piles à combustible FTL pour alimenter les vaisseaux d’évacuation.
mission_industry_description2           Nous pouvons fabriquer du carburant FTL, mais nous avons besoin du minerai de Tilium que l’on ne trouve que dans certaines ceintures d’astéroïdes.
mission_industry_description3           Heureusement, il existe une telle ceinture d'astéroïdes à proximité, dans ce secteur, dans le système *X.
mission_industry_description3b          La ceinture d'astéroïdes la plus proche se trouve dans le secteur suivant. 
mission_industry_tiliumrequired         Voyagez jusqu’à la ceinture d’astéroïdes et extrayez *X minerais de Tilium.
mission_industry_refinedrequired        Affinez ensuite le minerai extrait dans une fonderie.
mission_industry_description4           Déposez ensuite le minerai à n'importe quel poste commercial pour percevoir votre paiement.
mission_industry_requirements           Ce contrat nécessite un vaisseau adapté, équipé de lasers miniers et de drones logistiques.
mission_industry_accepted1              Nous avons marqué l'emplacement de la ceinture d'astéroïdes sur votre carte.
mission_industry_gathered               Vous avez *X minerai de Tilium sur ce vaisseau (nous avons besoin de *Y)
mission_industry_received               Nous avons reçu *X Tilium sur un total de *Y. Paiement total dû $*Z.
mission_industry_meteorshower           AVERTISSEMENT : des rapports font état d'une pluie de météores dans ce système. (+50% de salaire).
mission_industry_hostiles               AVERTISSEMENT : des forces hostiles campent près de la ceinture d'astéroïdes. (+50% salaire)
mission_industry_refined                ==> Le Tilium doit d'abord être raffiné dans une fonderie avant d'être livré. <==
mission_industry_shuttle                Nous avons envoyé une navette pour récupérer le minerai de Tilium.
mission_industry_lost                   Il n'y a plus de Tilium à bord de votre vaisseau.
mission_industry_success                Minerai *X/*Y extrait

mission_type_production                 Production
mission_production_title                Contrat de production : ressources de fabrication
mission_production_description1         Nous avons un besoin urgent de *X piles de R*Y.
mission_production_description2         Vous pouvez choisir de fabriquer le produit à partir de matières premières ou de l’acquérir par d’autres moyens.
mission_production_marketprice          Le prix du marché pour ces articles serait de $*X.
mission_production_markup               (Nous offrons *X% au-dessus du taux du marché en raison d'un besoin urgent).
mission_production_available            Vous disposez dans votre flotte de *X piles de R*Y pour le transfert (nous avons besoin de *Z)
mission_production_received             Nous avons reçu *X piles de R*Y sur un total de *Z.
mission_production_nomore               Il n’y a plus de R*X disponible dans votre flotte.
mission_production_success              Eléments *X/*Y fournis
        
mission_type_SectorDestroy              Détruire les forces hostiles
mission_sectordestroy_title             OBJECTIF DU SECTEUR : Détruire toutes les forces hostiles
mission_sectordestroy_system            Vous avez détruit les forces ennemies dans le système *X. Le paiement de $*Y arrivera bientôt.
mission_sectordestroy_progress          Nettoyer *X des systèmes *Y
mission_sectordestroy_desc1             Des forces hostiles ont élu domicile dans ce secteur. Ils entravent nos efforts d’évacuation et volent des ressources vitales.
mission_sectordestroy_desc2             Nous souhaitons que vous rendiez visite à chaque endroit marqué HOSTILES sur la carte.
mission_sectordestroy_desc3             Eliminez tous les vaisseaux ennemis que vous trouverez à ces endroits.
mission_sectordestroy_payment           Un paiement de $*X sera effectué une fois chaque emplacement libéré, pour un total de $*Y.
mission_sectordestroy_map               Détruire les hostiles [*X/*Y]
mission_sectordestory_success           HOSTILES ELIMINES

mission_type_SectorRescue               Sauvetage (Secteur)
mission_sectorrescue_title              OBJECTIF DU SECTEUR : Sauver les civils d’un vaisseau en perdition
mission_sectorrescue_description1       Enquêter sur un appel de détresse dans le système *X.
mission_sectorrescue_thrusters          A NOTER : VOUS AUREZ BESOIN DE PROPULSEURS POUR MANOEUVRER.
mission_sectorrescue_timed              Les moteurs du vaisseau vont exploser très bientôt (+25% de salaire).
mission_sectorrescue_meteors            Des rapports font état d'une pluie de météores dans la région. (+25% de salaire).
mission_sectorrescue_thrust             Le vaisseau bouge – vous aurez besoin de bonnes compétences pour accoster en toute sécurité (+25% de salaire).
mission_sectorrescue_spin               Le vaisseau est incontrôlable. Il sera très difficile d'accoster (+25% de salaire)
mission_sectorrescue_hostiles           Il y a des forces hostiles dans la région. (+50% salaire)
mission_sectorrescue_requirements       Vous aurez besoin de propulseurs de manoeuvre pour réussir à vous amarrer au vaisseau endommagé.
mission_sectorrescue_accepted           Nous avons marqué l'emplacement du vaisseau naufragé sur votre carte. Faites vite !
mission_sectorrescue_rescued            *X membres d'équipage sur *Y ont été secourus et sont à bord.
mission_sectorrescue_allrescued         Tout l'équipage a été sauvé du vaisseau ! Déposez-les à la base stellaire ou à la colonie la plus proche.
mission_sectorrescue_received           *X membres d'équipage sur *Y se sont mis en sécurité. Paiement dû $*Z.
mission_sectorrescue_lost               *X membres d'équipage n’est pas arrivé sain et sauf.
mission_sectorrescue_timer              Le moteur du vaisseau explosera dans *X secondes !!
mission_sectorrescue_map_initial        Enquêter sur un appel de détresse
mission_sectorrescue_map                Personnes sauvées [*X/*Y]
mission_sectorrescue_awardcaption       *X personnes sauvées.
mission_sectorrescue_success            SAUVETAGE TERMINE


mission_type_sectorevacuate             Evacuer le secteur
mission_sectorevacuate_title            OBJECTIF DU SECTEUR : Evacuer les civils bloqués
mission_sectorevacuate_description      Il y a *X civils bloqués dans le secteur, sans aucun moyen d'échapper à la catastrophe à venir.
mission_sectorevacuate_description2     Voyagez vers leurs systèmes stellaires, récupérez-les et hébergez-les temporairement dans votre flotte.
mission_sectorevacuate_description3     Transportez-les en toute sécurité vers le secteur suivant et déposez-les à la première base stellaire pour atteindre l'objectif.
mission_sectorevacuate_requirements     Votre vaisseau aura besoin de suffisamment de cabines libres sur votre pont d'habitation.
mission_sectorevacuate_requirements2    (Vous pouvez étendre votre deck d'hab dans un chantier naval à l'aide de l'éditeur de vaisseau))
mission_sectorevacuate_payment          Le paiement total pour le sauvetage des *X civils sera de $*Y
mission_sectorevacuate_received         *X civils sur *Y ont été récupérés.
mission_sectorevacuate_died             *X civils sont morts lors de l'évacuation.
mission_sectorevacuate_arrived          *X passagers sur *Y sont arrivés à destination en toute sécurité. Paiement total $*Z.
mission_sectorevacuate_lost             *X passagers ne sont pas arrivés à destination en toute sécurité.
mission_sectorevacuate_finished         Merci pour vos efforts commandant.
mission_sectorevacuate_map              Evacuer les civils [*X/*Y]

scienceobjective_title                  MISSION SPECIALE : ANALYSER UNE ANOMALIE
scienceobjective_description1           Nous avons besoin de plus de données pour comprendre quelle est cette anomalie.
scienceobjective_description2           Et nous ne pouvons pas arrêter l'anomalie tant que nous ne l'avons pas comprise.
scienceobjective_description3           Si vous parvenez à rassembler suffisamment de données scientifiques pour nous, nous pensons qu’il y a de fortes chances que nous puissions concevoir un moyen de contrecarrer cette anomalie.
scienceobjective_accepted1              Nous avons conçu un pack de capteurs personnalisés qui nous fournira les informations dont nous avons besoin.
scienceobjective_accepted2              Une navette est actuellement en route avec deux de ces capteurs.
scienceobjective_receivedsensors1       Les deux capteurs sont à bord de votre vaisseau. Vous devez les installer.
scienceobjective_installsensors         Installez les capteurs sur votre vaisseau (*X/2)
scienceobjective_installsensors2        Assurez-vous que les capteurs sont alimentés et opérationnels
scienceobjective_sensorsinstalled       Capteurs installés
scienceobjective_usesensors1            Ces capteurs collecteront les données de l'anomalie pendant que vous êtes dans l'hyperespace.
scienceobjective_usesensors2            Plus vous pouvez vous rapprocher de l’anomalie, plus vite les données seront collectées.
scienceobjective_capturedata            Vous avez capturé *X données de l'anomalie.
scienceobjective_successbonus           Données *X collectées. Prime de financement $*Y.
scienceobjective_nextbonus              Prochain bonus pour *X Données collectées : $*Y.
scienceobjective_scientist              Institut de recherche
scienceobjective_funding                Nous pouvons vous envoyer des fonds de recherche au fur et à mesure que vous collectez des données. Capturez 10 données de l'Anomalie et nous vous enverrons la première subvention.
scienceobjective_award                  PRIX SCIENTIFIQUE
scienceobjective_success                Données *X collectées

scienceobjective_milestone1a            Nous avons reçu vos données préliminaires de capteur. Fascinant! Il semble que l’anomalie s’étende et que le taux d’expansion augmente.
scienceobjective_milestone1b            Nous venons de vous verser une subvention scientifique de 10 000 $. Capturez 100 données pour débloquer plus de financement. Plus vous volez près de l’anomalie, plus les capteurs collectent les données rapidement.
scienceobjective_milestone2a            Nous avons maintenant reçu 100 paquets scientifiques de vos capteurs, merci. Ce sont des données inestimables pour nous.
scienceobjective_milestone2b            Nous venons de vous envoyer 100 000 $ supplémentaires. Le prochain bonus sera de 1 million de dollars pour 1 000 données de capteurs. Vous pouvez acheter plus de capteurs hyperspatiaux dans les bases stellaires et les colonies.
scienceobjective_milestone3a            Vos capteurs ont maintenant capturé 1 000 données de l’anomalie. Nous avons tous nos meilleurs esprits pour travailler sur une solution et vos données ont été inestimables.
scienceobjective_milestone3b            Nous vous envoyons maintenant une subvention scientifique d'un million de dollars. Continuez à faire ce que vous faites ! Des fonds supplémentaires seront débloqués pour 10 000 données scientifiques.
scienceobjective_milestone4a            10 000 données scientifiques reçues. Paiement 10 millions de dollars.
scienceobjective_milestone4b            Prochain bonus à 100 000 données scientifiques.

evacuationobjective_title               MISSION SPECIALE : EVACUATION
evacuationobjective_description1        Certains de nos scientifiques ne croient pas que l’effondrement du vide puisse un jour être stoppé.
evacuationobjective_description2        Si cela est vrai, des milliards de personnes devront être évacuées de nos planètes.
evacuationobjective_description3        Il n’y a jamais eu d’évacuation d’autant de personnes à la fois.
evacuationobjective_description4        Et nous ne savons même pas où aller en toute sécurité.
evacuationobjective_accepted1           Chaque planète colonisée que vous visiterez aura des civils qui auront besoin d'être évacués.
evacuationobjective_accepted2           Vous devrez agrandir votre pont d’habitation et même éventuellement passer à un vaisseau plus grand.
evacuationobjective_total               Vous avez évacué *X civils de mondes condamnés.
evacuationobjective_successbonus        *X civils évacués. Bonus de financement $*Y.
evacuationobjective_nextbonus           Prochain bonus lors de l'évacuation de *X civils : $*Y.
evacuationobjective_award               RECOMPENSE D'EVACUATION
evacuationobjective_success             *X civils évacués

nomadobjective_title                    MISSION SPECIALE : NOMADE
nomadobjective_description1             Il est possible que nous ne puissions jamais arrêter l'anomalie d'effondrement du vide.
nomadobjective_description2             Il se peut qu’il continue à s’étendre pour toujours. Nous n’avons peut-être aucun endroit sûr où nous arrêter.
nomadobjective_description3             Dans ce cas, nous devons nous habituer indéfiniment à vivre sur des vaisseaux autonomes.
nomadobjective_accepted1                Vous devrez transformer vos vaisseaux en une flotte autonome à long terme.
nomadobjective_accepted2                Amenez autant de personnes que possible avec vous et ne regardez pas en arrière.
nomadobjective_total                    Vous avez *X résidents permanents au sein de votre flotte.
nomadobjective_successbonus             La population a atteint *X habitants. Prime de financement $*Y.
nomadobjective_nextbonus                Prochain bonus lorsque la population atteint *X résidents : $*Y.
nomadobjective_award                    RECOMPENSE NOMADE
nomadobjective_success                  *X résidents de la flotte

# =============================================================================
# Object Types
# =============================================================================

object_airduct							Conduit d'air
object_airduct_description              Pompe de l'oxygène dans la cabine environnante jusqu'à ce qu'une atmosphère respirable soit obtenue. Doit être alimenté en oxygène par un tuyau.
object_battery							Batterie
object_battery_description              Stocke toute puissance excédentaire disponible dans le réseau électrique, jusqu'à 1.000Mw. La batterie fournira de l’énergie en cas de pénurie.
object_box                              Boîte
object_bullets							Balles
object_bullets_description              Une boîte de munitions pour mitrailleuse Gatling (PDC).
object_railgunshell						Obus de Railgun
object_railgunshell_description         Une boîte de munitions pour Railgun.
object_cargo							Cargo
object_civilian							Civil
object_refugee                          Réfugié
object_crewmember						Equipage
object_scientist                        Scientifique
object_weaponsspecialist                Officier d'armement
object_data                             Données
object_deuterium                        Deuterium
object_deuterium_description            Combustible pour un réacteur à fusion
object_dockingport						Port d'amarrage
object_dockingport_description          Fournit un point d'accès au vaisseau afin que les navettes puissent s'amarrer et se désamarrer
object_door								Porte
object_door_description                 Une porte à forte pression qui peut être utilisée pour sceller des zones en cas de brèche dans la coque ou d'incendie
object_tank								Enorme réservoir
object_tank_description                 Un réservoir massif pouvant stocker une grande quantité de liquide ou de gaz
object_smalltank						Réservoir moyen
object_smalltank_description            Un réservoir de stockage pouvant stocker du liquide ou du gaz
object_tinytank                         Petit réservoir
object_tinytank_description             Un réservoir de stockage pouvant stocker du liquide ou du gaz
object_dronebay							Baie des drones
object_dronebay_description             Cet équipement est nécessaire pour lancer des drones logistiques depuis votre vaisseau. Les drones peuvent collecter des ressources et les récupérer dans l'espace, puis les ramener au vaisseau via la Baie des drones. Une Baie des drones peut lancer plusieurs drones.
object_energycell						Cellule énergétique
object_energytransmitter                Transmetteur d'énergie
object_engine							Moteur
object_engine_description               La principale source de poussée du vaisseau. Doit être alimenté en carburant (via un tuyau) et en énergie (via un câble).
object_thruster                         Propulseur
object_thruster_description             Propulseur de manœuvre. Doit être fixé au mur du vaisseau. Fournit une poussée pour permettre un mouvement latéral ou de rotation.
object_entity							Entité
object_equipment						Equipement
object_fighter							Combattant
object_food                             Nourriture
object_ftlcharge						Chargeur FTL
object_ftldrive							Moteur FTL
object_fuel								Carburant
object_fusionreactor                    Réacteur à fusion
object_weaponsconsole                   Centre de contrôle des armes
object_weaponsconsole_description       Un terminal où un officier d'armes peut contrôler plusieurs armes en même temps.
object_gatlinggun						Mitrailleuse Gatling
object_gatlinggun_description           Un système d'armes à tir rapide à courte portée, principalement conçu pour la défense contre les combattants et les missiles. la Mitrailleuse Gatling excelle dans la destruction de cibles rapides à courte portée, mais n'a pas la puissance nécessaire pour pénétrer les cibles blindées.
object_cannon							Canon
object_cannon_description               Un système d'arme à moyenne portée qui lance un barrage d'obus explosifs sur la cible. Les obus de canon sont excellents pour infliger des dégâts de zone à un vaisseau ennemi et déchiqueteront le blindage de la coque.
object_cannonshell						Obus de canon
object_mininglaser						Laser de minage
object_mininglaser_description          Peut percer des zones minérales (trouvées dans les ceintures d'astéroïdes) pour en extraire des minéraux précieux.
object_generator						Générateur
object_hullbreach						Brèche de coque
object_loader							Chargeur 
object_loader_description               Il s'agit d'une version à usage général du chargeur de carburant et du chargeur d'oxygène, et peut accepter n'importe quelle cartouche de liquide ou de gaz. Connu pour déboussoler fortement les nouveaux capitaines. Utilisez des tuyaux pour connecter le chargeur à d’autres équipements.
object_fuelloader                       Injecteur de carburant
object_fuelloader_description           Prend un bidon de carburant et le pompe dans un tuyau souterrain. Utilisez des tuyaux pour le connecter à votre réacteur et à vos moteurs.
object_oxygenloader                     Injecteur d'oxygène
object_oxygenloader_description         Prend une cartouche d'oxygène sous pression et la pompe dans un tuyau souterrain. Utilisez des tuyaux pour le connecter à votre conduit d'air, afin d'alimenter en oxygène la cabine.
object_logisticsdrone                   Drone Logistique
object_logisticsdrone_description       Un robot semi-intelligent incroyablement utile, capable de collecter des objets récupérés dans l'espace. Peut également effectuer des réparations mineures sur une coque endommagée. Doit être lancé depuis une baie de drones.
object_meteor							Météore
object_asteroid							Astéroïde
object_comet                            Comète
object_mineralpatch						Morceau de Minerai
object_none								Aucun type
object_ordnance                         Munitions
object_oxygen							Oxygène
object_powercoil                        Bobine de puissance
object_powercoilcharged                 Bobine de puissance chargée
object_powerinjector                    Injecteur de puissance
object_railgun							Railgun
object_railgun_description              Un système d'arme extrêmement précis et à longue portée qui tire une solide balle de métal. Le Railgun est une arme précise qui peut pénétrer le blindage de la coque et détruire l'équipement à l'intérieur du vaisseau ciblé. Cependant, l’arme consomme une énorme quantité d’énergie pour se recharger après chaque tir.
object_reactor							Réacteur
object_reactor_description              Brûle du carburant à haute énergie pour produire de l'électricité. Doit être alimenté en carburant (via un tuyau). Utilisez ensuite des câbles pour vous connecter à d'autres équipements alimentés.
object_sciencestation                   Station scientifique
object_sciencestation_description       Un poste de travail permettant à un scientifique de mener des recherches précieuses.
object_supercomputer                    Superordinateur
object_supercomputer_description        Un ordinateur puissant pour effectuer des calculs et simuler des recherches.
object_shuttle							Navette
object_spacesuit						Combinaison spatiale
object_spacesuitpod						Support de combinaison spatiale
object_spacesuitpod_description         Un lieu de stockage pour les combinaisons spatiales qui ont besoin de se réapprovisionner en oxygène.
object_tank								Réservoir
object_water							Eau
object_stairs							Echelle
object_stairs_description               L'équipage et les passagers ne peuvent accéder au pont supérieur d'habitation qu'avec une échelle.
object_hyperspacesensor                 Capteur d'hyperespace
object_hyperspacesensorlr               Capteur hyperespace LR
object_hyperspacesensorlr_description   Une version prototype à longue portée et extrêmement sensible du capteur hyperspatial standard.
object_missioncargo                     Mission de transport
object_repairstructure					Réparer les dommages structurels
object_repairstructure_description      Le chantier naval local peut réparer les lourds dommages structurels de votre vaisseau, moyennant un certain prix.
object_scrapmetal                       Ferraille
object_metalingot						Lingot De Métal
object_preciousore						Minerai précieux
object_preciousmetals					Métaux précieux
object_tiliumore                        Minerai de Tilium
object_refinedtilium                    Cristaux de Tilium
object_metallicminerals                 Minerai métalliques
object_copperminerals                   Minerai de cuivre
object_copperingot                      Lingot de cuivre
object_ice                              Eau glacée
object_metreongas                       Gaz Métréon
object_refinedmetreon                   Métréon raffiné
object_explosives                       Explosifs
object_hyperspaceisotopes               Isotopes de l'hyperespace
object_seeds                            Graines
object_seeds_description                Un petit sac de graines de légumes mélangées, que vous pourrez peut-être cultiver dans un jardin hydroponique.
object_smelter							Fonderie
object_smelter_description              Cette machine de traitement industriel peut fondre des minerais en lingots métalliques utilisables. Une fois installé, cliquez dessus pour changer le type de minerai.
object_sewagepipe                       Tuyau d'eaux usées
object_sewagepipe_description           Ce tuyau extrait les eaux usées du pont d'habitation situé au-dessus. Vous pouvez ensuite acheminer les eaux usées vers un réservoir de stockage et (éventuellement) les retraiter en eau. Le tuyau DOIT ETRE DIRECTEMENT SOUS LE PONT D'HABITATION pour fonctionner.
object_sewagemachine					Machine de traitement des déchets
object_sewagemachine_description        Prend les eaux usées du pont d'habitation, sépare les déchets solides et liquides et les recycle partiellement. L'appareil produit de l'eau sale et du compost.
object_waterpurifier					Purificateur d'eau
object_waterpurifier_description        Récupère l'eau sale provenant du recyclage des eaux usées ou de la glace naturelle et la purifie en eau potable.
object_oxygenmaker						Générateur d'oxygène
object_oxygenmaker_description          Utilise l’énergie électrique pour extraire l’oxygène de l’eau.
object_scrubber							purificateur de CO2
object_scrubber_description             Extrait le dioxyde de carbone de l’atmosphère. Sa sortie doit être acheminée vers un réservoir de stockage, sinon elle sera bloquée.
object_airreprocessor					Recycleur d'air
object_airreprocessor_description       Convertit le CO2 en oxygène respirable.
object_icegrinder                       Broyeur de glace
object_icegrinder_description           Broie des morceaux de glace géants en petits morceaux, puis réchauffe la glace jusqu'à ce qu'elle fonde en liquide. L’eau obtenue doit être filtrée avant d’être potable.
object_proximitymine                    Mine
object_gascollector                     Collecteur de gaz
object_gascollector_description         Un grand évent extérieur qui aspire les gaz de l’espace. De nombreux gaz trouvés dans les nébuleuses peuvent être utilisés pour produire des ressources utiles comme du carburant, des charges FTL ou encore des explosifs.
object_refinery                         Raffinerie
object_refinery_description             Une machine industrielle automatique permettant de raffiner les produits chimiques bruts et les gaz.
object_chemicallab                      Laboratoire de chimie
object_chemicallab_description          Un équipement scientifique complexe. Peut combiner plusieurs produits chimiques (liquides, gaz et solides) pour obtenir différents résultats. L'utilisateur peut parcourir la « recette » active en cliquant dessus.
object_hyperspacecollector              Collecteur hyperspatial
object_hyperspacecollector_description  Le collecteur hyperspatial se trouve à l'avant d'un vaisseau spatial et fait face à la direction du déplacement. Durant l'hyperespace, un puissant champ magnétique est projeté vers l'avant, attirant de grands volumes de matière interstellaire. Les isotopes ainsi collectés peuvent être raffinés en carburant FTL.
object_munitionsfactory                 Banc de munitions
object_munitionsfactory_description     Un établi où un membre d'équipage qualifié peut fabriquer différentes sortes de munitions pour les systèmes d'armes des vaisseaux. Utilise du métal et des explosifs pour produire des balles, des munition de railgun, des obus de canon, etc.
object_hydroponics                      Jardin hydroponique
object_hydroponics_description          Une serre fermée qui peut être utilisée pour faire pousser des cultures, afin de nourrir votre équipage. Nécessite du compost, de l'eau et des graines pour démarrer. 
object_fabricator                       Fabricateur
object_assembler                        Table d'assemblage
object_robotarm                         Bras robotique
object_robotarmshort                    Bras de robot court
object_robotarmsmart			Bras de robot intelligent
object_track                            Piste
object_ruinedequipment                  Equipement en ruine

object_framecomponent                   Cadre
object_motorcomponent                   Moteur
object_coilcomponent                    Bobine d'énergie
object_lenscomponent                    Lentille
object_stargatestructure                Cadre de porte des étoiles
object_stargateresin                    Résine porte des étoiles
object_stargateactuator                 Actionneur de porte des étoiles
object_stargatereceiver                 Récepteur de porte des étoiles

object_sewage							déchets
object_wastewater						Eaux usées
object_compost							Compost
object_carbondioxide					CO2

object_short_oxygen                     O2
object_short_ftlcharge                  FTL
object_short_bullets                    Munitions
object_short_railgunshell               Balle magnétique
object_short_cannonshell                Obus

entity_unconscious						INCONSCIENT
entity_dead								MORT
entity_suffocating						SUFFOCANT
entity_stunned							ETOURDI
entity_suitrequired						COMBINAISON REQUISE
entity_dehydrated						DESHYDRATE
entity_fainted                          EVANOUI
        
entity_death_injury                     Blessure mortelle
