
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nuevo
mission_delivery_outoftime              Es demasiado tarde - ya no se te pagara por el cargamento restante.
mission_delivery_shuttle				Un transbordador esta en camino hacia usted con el cargamento.
mission_delivery_delivery				Entregados *X de *Y objetos.
mission_delivery_alldelivered			Todo el cargamento esta a bordo. Buena Suerte.
mission_delivery_turnin					Un transbordador esta en camino para recojer la carga.
mission_delivery_received				Recibidos *X de *Y objetos. Pago total debido $*Z.
mission_delivery_toolate                Recibidos *X de *Y objetos, pero el tiempo limite ha expirado.
mission_delivery_lost                   Los restantes *X objetos de cargo no han llegado.
mission_delivery_wrongdestination       Parte del cargamento ha sido entregado a un destino equvocado. No se le pagara.
mission_delivery_success                Entregados *X de *Y objetos

mission_type_passengers					Transporta pasajeros
mission_passengers_title				Urgente pedido de transporte de pasajeros
mission_passengers_titlefurther			Pasajeros requieren transporte a traves de sectores
mission_passengers_description			Hay un grupo de *X civiles que estan en busca de transito seguro.
mission_passengers_descriptionfurther	Su destino esta a *Y Saltos de Sector de distancia, en el Sector *X.
mission_passengers_destination			Su destino esta en este sector. Dejalos en el sistema estelar *X.
mission_passengers_requirements         Tu nave necesitara suficientes cabinas libres en tu habitation deck.
mission_passengers_shuttle				Estan de camino hacia usted y el transbordador atracara con su nave pronto.
mission_passengers_delivery				*X de *Y pasajeros estan a bordo.
mission_passengers_alldelivered			Ya está, todos los pasajeros estan a bordo de su nave. Viajes seguros comandante.
mission_passengers_turnin				Bienvenidos! Hemos enviado un transbordador para recojer los pasajeros.
mission_passengers_received				*X pasajeros de *Y han llegados seguros a su destino. Pago total debido $*Z.
mission_passengers_lost                 *X pasajeros no llegaron a su destino de manera segura.
mission_passengers_wrongdestination     Has dejado a los pasajeros en el lugar equivocado! No se te pagara por su viaje.
mission_passengers_success              Transportados *X de *Y pasajeros

mission_type_refugees                   Refugiados
mission_refugees_title                  Toma el cuidado de refugiados permanentes
mission_refugees_description            Tenemos *X civiles viviendo aquí que no tienen ningun lugar a donde ir, y ninguna manera de escapar la anomaía antes de que llegue aquí.
mission_refugees_description2           Encuentra un lugar para ellos en tu flota, cuida de ellos, y estaremos en eterna gratitud.
mission_refugees_requirements           Tu nave necesitara suficientes cabinas libres en tu habitation deck.
mission_refugees_alldelivered			Todos los refugiados estan a bordo. Te deseamos la mejor de las suertes, comandante.
mission_refugees_received               *X de *Y pasajeros estan a bordo. Pago total $*Z.

mission_type_rescue                     Rescate
mission_rescue_title                    Rescata civiles de una nave varada
mission_rescue_description1             Una nave se a varado debido a severos problemas mecanicos, y la tripulacion necesita de rescate inmediato.
mission_rescue_description2             La nave dañada esta en el sistema *X. Apresuraté!
mission_rescue_description2b            La nave esta en el siguiente sector.
mission_rescue_description3             Hay *X tripulantes a bordo, y deben ser llevados de manera segura a una estacion o colonia cercana.
mission_rescue_timed                    Los motores de la nave van a estallar en poco tiempo. (+25% pay).
mission_rescue_meteors                  Hay reportes de una lluvia de meteoros en el areá. (+25% pay).
mission_rescue_thrust                   La nave esta en movimiento - necesitaras un poco de habilidad para atracar de manera segura. (+25% pay)
mission_rescue_spin                     La nave esta girando descontroladamente. Sera desafiante atracar con ella. (+25% pay)
mission_rescue_hostiles                 Hay fuerzas hostiles en el area. (+50% pay)
mission_rescue_requirements             Requeriras de propulsores de maniobra para atracar exitosamente con la nave varada.
mission_rescue_accepted                 Hemos marcado la pocision de la nave civil en tu mapa. Por favor Apresuraté!
mission_rescue_rescued                  *X tripulantes de *Y han sido rescatados y estan a bordo.
mission_rescue_allrescued               Toda la tripulacion ha sido rescatada de la nave! Dejalos en la Colonia o Base Estelar mas cercana.
mission_rescue_received                 *X tripulantes de *Y han llegado seguros. Pago total debido $*Z.
mission_rescue_lost                     *X tripulantes no llegaron a salvo.
mission_rescue_timer                    El reactor de la nave va a estallar en *X segundos!!

mission_type_combat                     Combate
mission_combat_title_mines              Despejar peligroso Campo Minado
mission_combat_title_roguefighters      Ataca y destruye cazas rebeldes 
mission_combat_title_pirategang         Neutralizar banda pirata
mission_combat_title_armouredthugs      Erradicar ladrones armados
mission_combat_title_mercenarystation   Destruye plataforma militarizada mercenaria hostil
mission_combat_title_communityships     Ataca y destruye banda pirata hostil
mission_combat_description1             Hay una pequeña flota de Naves Hostiles operando ilegalmente en un sistema estelar en este sector.
mission_combat_description2             Ellos han estad acosando a las naves humanitarias y de comercio por demasiado tiempo. No lo aceptaremos mas.
mission_combat_description3             Viaja al sistema, enfrentalos en combate y destruyelos.
mission_combat_requirements             Requeriras de una nave armada para aceptar esta mision.
mission_combat_piratecount              Reportes sugieren que hay *X naves en la flota hostil, escondiendose en el sistema *Y.
mission_combat_mines_description1       Fuerzas Piratas han creado un peligroso campo minado en medio de una concurrida ruta comercial.
mission_combat_mines_description2       Su objetivo parece ser deshabilitar cualquier nave comercial que se acerque, para luego robar toda carga de valor que lleven.
mission_combat_mines_description3       Viaja al sistema y despeja el campo minado, antes de que las fuerzas pirata aparezcan.
mission_combat_mines_requirement        Necesitaras un sistema de armas para destruir las minas desde una distancia segura.
mission_combat_accept                   Hemos marcado la ubicacion de las fuerzas hostiles en tu mapa. Buena caza.
mission_combat_attacknow                Has localizado las fuerzas hostiles! Destruyelos de inmediato.
mission_combat_destroyed                Has destruido *X hostiles de un total de *Y
mission_combat_alldestroyed             Todas las fuerzas hostiles han sido destruidas. Pago total $*X.
mission_combat_failure                  Las fuerzas hostiler restantes han escapado.
mission_combat_success                  Destruidos *X/*Y Hostiles
mission_combat_location                 Las naves hostiles estan localizadas en el sistema *X.

mission_type_industry                   Minería de Asteroides
mission_industry_title                  Contrato Minero: Extraer minerales criticos
mission_industry_refined_title          Extraer y refinar recursos criticos
mission_industry_description            Hay una enorme demanda para Celulas de Combustible FTL, para alimentar las naves de evacuacion.
mission_industry_description2           Podemos producir las Celulas FTL, pero necesitamos Tilium ore que solo puede encontrarse en ciertos cinturones de asteroides.
mission_industry_description3           Afortunadamente hay uno de tales cinturones cerca, dentro de este sector, en el sistema *X.
mission_industry_description3b          El cinturon de asteroides mas cercano se encuentra en el siguiente sector. 
mission_industry_tiliumrequired         Viaja al cinturon de asteroides y extrae *X Tilium ore.
mission_industry_refinedrequired        Luego refina el mineral obtenido en un Smelter.
mission_industry_description4           Luego deposita el producto en cualquier puesto comercial para obtener tu pago.
mission_industry_requirements           Este contrato requiere de una nave adecuada, equipada con Laseres de Mieria y Drones Logisticos.
mission_industry_accepted1              Hemos marcado la ubicacion del cinturon de asteroides en tu mapa.
mission_industry_gathered               Tienes *X Tilium ore en esta nave (Necesitamos *Y)
mission_industry_received               Hemos recibido *X Tilium de un total de *Y. Pago total debido $*Z.
mission_industry_meteorshower           ADVERTENCIA: Existen reportes de una lluvia de meteoritos en ese sistema. (+50% pay).
mission_industry_hostiles               ADVERTENCIA: Existen fuerzas hostiles acampando cerca del cinturon de asteroides. (+50% pay)
mission_industry_refined                ==> El Tilium debe primero ser refinado en un Smelter antes de la entrega. <==
mission_industry_shuttle                Hemos enviado un transbordador a recolectar el Tilium Ore.
mission_industry_lost                   No hay mas Tilium a bordo de tu nave.
mission_industry_success                Extraido *X/*Y Ore

mission_type_production                 Produccion
mission_production_title                Contrato de Produccion: Manufacture resources
mission_production_description1         Tenemos un urgente requerimiento para *X stacks de R*Y.
mission_production_description2         Puedes elegir producir el producto usando materiales crudos, o adquirirlo a traves de otros medios.
mission_production_marketprice          El precio de mercado de estos objetos sería $*X.
mission_production_markup               (Estamos ofreciendo un *X% sobre precio de mercado debido a la urgencia).
mission_production_available            Tu tienes *X stacks de R*Y disponible para transferir en tu flota (Necesitamos *Z)
mission_production_received             Hemos recibido *X stacks de R*Y , de un total de *Z. 
mission_production_nomore               No hay mas R*X disponible en tu flota.
mission_production_success              Provistos *X/*Y objetos
        
mission_type_SectorDestroy              Destruye Fuerzas Hostiles
mission_sectordestroy_title             OBJECTIVO DE SECTOR: Destruye todas las fuerzas hostiles
mission_sectordestroy_system            Has destruido las fuerzas hostiles en el sistema *X. Un pago de $*Y va en camino.
mission_sectordestroy_progress          Despejados *X de *Y sistemas
mission_sectordestroy_desc1             Fuerzas hostiles han tomado residencia dentro de este sector. Estan entorpeciendo nuestros esfuerzos de evacuacion robandonos vitales recursos.
mission_sectordestroy_desc2             Queremos que visites cada ubicacion marcada con HOSTILES en el mapa.
mission_sectordestroy_desc3             Aniquila todas las naves enemigas que encuentres en esas ubicaciones.
mission_sectordestroy_payment           Un pago de $*X se te concedera por cada sistema, para un posible total de $*Y.
mission_sectordestroy_map               Destruye los Hostiles [*X/*Y]
mission_sectordestory_success           HOSTILES ELIMINADOS

mission_type_SectorRescue               Rescate (Sector)
mission_sectorrescue_title              OBJETIVO DE SECTOR: Rescata a los civiles de su nave dañada
mission_sectorrescue_description1       Investiga una llamada de auxilio en el sistema *X.
mission_sectorrescue_thrusters          NB. YOU WILL NEED THRUSTERS TO MANOEUVRE INTO POSITION.
mission_sectorrescue_timed              Los motores de la nave van a estallar en poco tiempo. (+25% pay).
mission_sectorrescue_meteors            Hay reportes de una lluvia de meteoros en el areá. (+25% pay).
mission_sectorrescue_thrust             La nave esta en movimiento - necesitaras un poco de habilidad para atracar de manera segura. (+25% pay)
mission_sectorrescue_spin               La nave esta girando descontroladamente. Sera desafiante atracar con ella. (+25% pay)
mission_sectorrescue_hostiles           Hay fuerzas hostiles en el area. (+50% pay)
mission_sectorrescue_requirements       Requeriras de propulsores de maniobra para atracar exitosamente con la nave varada.
mission_sectorrescue_accepted           Hemos marcado la pocision de la nave civil en tu mapa. Por favor Apresuraté!
mission_sectorrescue_rescued            *X tripulantes de *Y han sido rescatados y estan a bordo.
mission_sectorrescue_allrescued         Toda la tripulacion ha sido rescatada de la nave! Dejalos en la Colonia o Base Estelar mas cercana.
mission_sectorrescue_received           *X tripulantes de *Y han llegado seguros. Pago total debido $*Z.
mission_sectorrescue_lost               *X tripulantes no llegaron a salvo.
mission_sectorrescue_timer              El reactor de la nave va a estallar en *X segundos!!
mission_sectorrescue_map_initial        Investiga Llamada de Auxilio
mission_sectorrescue_map                Individuos rescatados [*X/*Y]
mission_sectorrescue_awardcaption       *X Individuos rescatados.
mission_sectorrescue_success            RESCATE COMPLETADO


mission_type_sectorevacuate             Evacua el Sector
mission_sectorevacuate_title            OBJETIVO DE SECTOR: Evacua los civiles varados
mission_sectorevacuate_description      Hay *X civiles varados en este sector, sin ninguna manera de escapar la catastrofe que se acerca.
mission_sectorevacuate_description2     Viaja a sus sistemas estelares y recojelos, proporcionales un refugio temporal en tu flota.
mission_sectorevacuate_description3     Transportalos de manera segura hasta el siguiente sector y dejalos en la primera estacion estelar para completar el objetivo.
mission_sectorevacuate_requirements     Tu nave necesitara suficientes cabinas libres en tu habitation deck.
mission_sectorevacuate_requirements2    (Puedes expandir tu espacio habitable en un Astillero usando el Editor de Naves)
mission_sectorevacuate_payment          El pago total por rescatar todos los *X civiles sera de $*Y
mission_sectorevacuate_received         *X de *Y civiles han sido recojidos.
mission_sectorevacuate_died             *X civiles han muerto durante la evacuacion.
mission_sectorevacuate_arrived          *X pasajeros de *Y han llegados seguros a su destino. Pago total debido $*Z.
mission_sectorevacuate_lost             *X pasajeros no llegaron a su destino de manera segura.
mission_sectorevacuate_finished         Gracias por sus esfuerzos comandante.
mission_sectorevacuate_map              Evacua a los Civiles [*X/*Y]

scienceobjective_title                  MISION ESPECIAL: ANALIZA LA ANOMALÍA
scienceobjective_description1           Necesitamos mas datos para poder entender lo que es esta Anomalía.
scienceobjective_description2           Y no tenemos posibilidad de detener a la Anomalía hasta que la comprendamos.
scienceobjective_description3           Si puedes acumular suficiente datos para nosotros, creemos tener una buena chance de diseñar una manera para contraarrestar la Anomalía.
scienceobjective_accepted1              Hemos diseñado un paquete de sensores personalizado que nos dara la informacion que necesitamos.
scienceobjective_accepted2              Un transbordador esta de camino hacia usted con dos de estos sensores. 
scienceobjective_receivedsensors1       Ambos sensores estan a bordo de su nave. Necesita instalarlos.
scienceobjective_installsensors         Instala los sensores en tu nave (*X/2)
scienceobjective_installsensors2        Aseguraté de que los sensores tienen energía y estan operativos
scienceobjective_sensorsinstalled       Sensores Instalados
scienceobjective_usesensors1            Estos sensores obtendran datos de la Anomalía mientras usted esta en el Hyperespacio.
scienceobjective_usesensors2            Cuanto mas cerca usted pueda hypersaltar con respecto a la Anomalía, mas rapido podra obtener datos.
scienceobjective_capturedata            Has capturado *X Datos de la Anomalía.
scienceobjective_successbonus           Capturados *X Datos. Bono monetario $*Y.
scienceobjective_nextbonus              Siguente bono por *X Datos capturados : $*Y.
scienceobjective_scientist              Instituto de Investigacion
scienceobjective_funding                Podemos enviarle fondos de investigacion a medida que capture datos. Capture 10 datos de la Anomalía y enviaremos el primer paquete de fondos.
scienceobjective_award                  SCIENCE AWARD
scienceobjective_success                Capturados *X Datos

scienceobjective_milestone1a            Hemos recibido los datos preliminares de sus sensores. Fascinante! Parece que la Anomalía se esta expandiendo, y la velocidad a la que se expande esta aumentando.
scienceobjective_milestone1b            Acabamos de pagarle un bono Scientifico de $10,000. Capture 100 datos para recibid mas fondos. Lo mas cerca que vuele de la Anomalía, lo mas rapído que los sensores obtendran datos.
scienceobjective_milestone2a            Hemos recibido 100 paquetes de datos de sus sensores, Gracias. Estos datos son invaluables para nosotros.
scienceobjective_milestone2b            Acabamos de enviarle otros $100,000.  El siguiente bono sera de $1 Millon por 1000 datos de senor.  Usted puede comprar mas sensores Hyperespaciales en colonias y bases estelares.
scienceobjective_milestone3a            Sus sensores han ahora capturado 1000 datos de la Anomalía. Tenemos a nuestras mejores mentes trabajando en una solucion y tus datos han sido invaluables.
scienceobjective_milestone3b            Estamos enviando un pago de $1M hacia usted ahora.  Sigua haciendo lo que hace! Mas fondos se le proporcionaran cuando capture 10,000 datos.
scienceobjective_milestone4a            10,000 datos cientificos recibidos. Pago de $10M.
scienceobjective_milestone4b            Siguiente bono monetario en 100,000 datos cientificos.

evacuationobjective_title               MISION ESPECIAL: EVACUACION
evacuationobjective_description1        Algunos de nuestros cientificos no creen que el colapso de vacio pueda jamas ser detenido.
evacuationobjective_description2        Si esto es verdad, entonces billones de civiles necesitaran ser evacuados de sus planetas.
evacuationobjective_description3        Nunca en la historia ha habido una evacuacion de esta escala y magnitud.
evacuationobjective_description4        Y ni siquiera sabemos donde podemos ir que sea seguro.
evacuationobjective_accepted1           Todo planeta colonizado que visite tendrá civiles en necesidad de evacuacion.
evacuationobjective_accepted2           Necesitaras expandir tu habitation deck e incluso mejorar a una nave mas grande eventualmente.
evacuationobjective_total               Has evacuado *X civiles de planetas condenados.
evacuationobjective_successbonus        Evacuados *X civiles. Bono monetario $*Y.
evacuationobjective_nextbonus           El siguiente bono monetario sera por la evacuacion de *X civiles : $*Y.
evacuationobjective_award               RECOMPENSA DE EVACUACION
evacuationobjective_success             Evacuados *X civiles

nomadobjective_title                    MISION ESPECIAL: NOMADÁ
nomadobjective_description1             Es posible que nunca podamos ser capaces de detener la Anomalía de colapso del vacio.
nomadobjective_description2             Quiza se sigua expandiendo eternamente. Puede que no haya ningun lugar seguro en el que parar.
nomadobjective_description3             En tal caso necesitamos acostumbrarnos a vivir en naves autosuficientes, indefinidamente.
nomadobjective_accepted1                Necesitaras convertir a tus naves en una flota autosustentable a largo plazo.
nomadobjective_accepted2                Trae contigo la mayor cantidad de gente que puedas, y no mires hacia atrás.
nomadobjective_total                    Tienes *X residentes permanentes en tu flota.
nomadobjective_successbonus             La poblacion ha alcanzado *X residentes. Bono monetario $*Y.
nomadobjective_nextbonus                Siguente bono cuando la poblacion alcance *X residentes - $*Y.
nomadobjective_award                    RECOMPENSA NOMADÁ
nomadobjective_success                  *X residentes en la flota

# =============================================================================
# Object Types
# =============================================================================

object_airduct							Ducto de Ventilacíon
object_airduct_description              Bombea Oxígeno al compartimiento hasta que una atmosfera respirable se forma. Debe ser alimentado con Oxígeno mediante tuberias.
object_battery							Batería
object_battery_description              Almacena el exceso de energía en la red, hasta 1000Mw. La Batería descargara la energía cuando sea neceraria electricidad adicional.
object_box                              Caja
object_bullets							Balas
object_bullets_description              Una caja de municion para Ametralladoras Gatling (PDC).
object_railgunshell						Railgun Slugs
object_railgunshell_description         Una caja de municion llena de municiones para Cañones de Riel.
object_cargo							Cargamento
object_civilian							Civil
object_refugee                          Refugiado
object_crewmember						Tripulante
object_scientist                        Cientifíco
object_weaponsspecialist                Oficial de Armamento
object_data                             Datos
object_deuterium                        Deuterio
object_deuterium_description            Combustible para un Reactor de Fusion nuclear.
object_dockingport						Docking Port
object_dockingport_description          Provee un punto de acceso a la nave, al cual un transbordador espacial se puede atracar.
object_door								Compuerta
object_door_description                 Una pesada compuerta presurizada que se puede usar para sellar areas en caso de fuegos o agujeros en el casco.
object_tank								Tanque Enorme
object_tank_description                 Un tanque masivo que puede almacenar una gran cantidad de liquidos o gases.
object_smalltank						Tanque Medio
object_smalltank_description            Un tanque que puede almacenar liquidos o gases.
object_tinytank                         Tanque Pequeño
object_tinytank_description             Un tanque que puede almacenar liquidos o gases. 
object_dronebay							Bahía de Drones
object_dronebay_description             Este equipamiento es requerido para lanzar Drones de Logistica desde tu nave. Los Drones pueden recojer recursos y chatarra en el espacio, y traerlos a la nave a traves de la Bahía de Drones. Una Bahía de Drones puede lanzar varios Drones.
object_energycell						Celula de Energía
object_energytransmitter                Transmisor de Energía
object_engine							Motor
object_engine_description               La fuente principal de Propulcion de una nave.  Debe ser abastecido de combustible (via tuberias) y Energía (via un cable).
object_thruster                         Motor de Maniobra
object_thruster_description             Propulsor de Maniobra. Debe ser instalado en la pared de una nave. Provee empuje para permitir movimientos laterales y rotacion.
object_entity							Entity
object_equipment						Equipamiento
object_fighter							Caza
object_food                             Comida
object_ftlcharge						Celula FTL
object_ftldrive							Motor FTL
object_fuel								Conbustible
object_fusionreactor                    Reactor de Fusíon
object_fusionreactor_description        Usa la fusion nuclear del Deuterio para generar grandes cantidades de Energía. Sin embargo, el reactor debe ser activado usando una enorme cantidad inicial de energía antes de que empieze a generar electricidad.  \n\nGenera una cantidad de Energía maxima de 500MW.
object_weaponsconsole                   Centro de control de Armamento
object_weaponsconsole_description       Una terminal donde un Oficial de Armas puede controlar multiples armamentos al mismo tiempo.
object_gatlinggun						Ametralladora Gatling
object_gatlinggun_description           Un arma de corto alcance y fuego rapido, primariamente diseñado para defender contra cazas y municiones.  La Ametralladora Gatling es excelente destruyendo objetivos rapidos a corto alcance, pero carece del poder necesario para penetrar objetivos blindados.
object_cannon							Cañon
object_cannon_description               Un arma de alcance medio que lanza una andanada de municiones explosivas contra el objetivo. Las balas de cañon son exelentes para dañar un gran area de la nave enemiga, y son muy capaces de destruir blindaje.
object_cannonshell						Municiones de Cañon
object_mininglaser						Laser de Minería
object_mininglaser_description          Puede taladrar yacimientos (encontrados en cinturones de asteroides) para extraer valiosos recursos.
object_generator						Generador
object_hullbreach						Agujero en el Casco
object_loader							Cargador
object_loader_description               Una version de todo-proposito del Cargador de Combustible y el Cargador de Oxígeno, puede manejar celulas de cualquier gas o liquido.  Tiende a confundir a los nuevos capitanes.  Usa tuberias para conectarlo con Equipamiento.
object_fuelloader                       Cargador de Combustible
object_fuelloader_description           Toma una celula de Combustible, y la bombea a traves de tuberias. Usa tuberias para conectar esto con tu Reactor y tus Motores.
object_oxygenloader                     Cargador de Oxígeno
object_oxygenloader_description         Toma una celula de oxígeno presurizado, y lo bombea a traves de tuberias.  Usa tuberias para conectar esto con tu Ducto de Ventilacíon y Trajes Espaciales.
object_logisticsdrone                   Dron de Logistíca
object_logisticsdrone_description       Un robot semi-inteligente increiblemente util, capaz de reclamar chatarra y objetos del espacio profundo. Tambien puede efectuar reparaciones menores en el Casco. Debe ser lanzado desde una Bahía de Drones.
object_meteor							Meteoro
object_asteroid							Asteroide
object_comet                            Cometa
object_mineralpatch						Yacimiento de Minerales
object_none								NoType
object_ordnance                         Ordnance
object_oxygen							Oxígeno
object_powercoil                        Power Coil
object_powercoilcharged                 Charged Power Coil
object_powerinjector                    Power Injector
object_railgun							Cañon de Riel
object_railgun_description              Un arma con una precision y alcance extremadamente altos. El cañon de Riel es un arma que puede penetrar a traves de blidaje y destruir equipamiento dentro de la nave objetivo. Sin embargo, el arma drena una gran cantidad de energía para recargarse despues de cada disparo.
object_reactor							Reactor
object_reactor_description              Quema Combustible de alta densidad para producir energía. Debe ser provisto de combustible (via Tuberias). Usa cables para conectarlo al equipamiento.\nGenera una cantidad de Energía maxima de 100MW.
object_sciencestation                   Estacion Cientifica
object_sciencestation_description       Un espacio para que un cientifico pueda conducir valiosos experimentos.
object_supercomputer                    Super Computador
object_supercomputer_description        Una potente computadora para procesado de numeros y simulaciones de importantes investigaciones.
object_shuttle							Transbordador
object_spacesuit						Traje Espacial
object_spacesuitpod						Armario de Traje Espacial
object_spacesuitpod_description         Un lugar en el que colocar los Trajes Espaciales que necesiten ser recargados de Oxígeno.
object_tank								Tanque
object_water							Agua
object_stairs							Escaleras
object_stairs_description               La Tripulacion y los Pasajeros solo pueden acceder al espacio habitable superior mediante Escaleras.
object_hyperspacesensor                 Sensor Hyperespacial
object_hyperspacesensorlr               Sensor Hyperespacial LD
object_hyperspacesensorlr_description   A Long Range and extremely sensitive prototype version of the standard hyperspace sensor.
object_missioncargo                     Cargamento de Mision
object_repairstructure					Reparar Daños Estructurales
object_repairstructure_description      El Astillero local puede reparar el gran daño estrcuctural de tu nave, por un precio.
object_scrapmetal                       Chatarra Metalica
object_metalingot						Lingote de Metal
object_preciousore						Minerales Preciosos
object_preciousmetals					Metales Preciosos
object_tiliumore                        Tilium Ore
object_refinedtilium                    Tilium Crystals
object_metallicminerals                 Minerales Metalicos
object_copperminerals                   Minerales de Cobre
object_copperingot                      Lingote de Cobre
object_ice                              Hielo
object_metreongas                       Gas Metreon
object_refinedmetreon                   Metreon Refinado
object_explosives                       Explosivos
object_hyperspaceisotopes               Isótopos Hyperespaciales
object_stableisotopes                   Isótopos Estables
object_seeds                            Semillas
object_seeds_description                A small bag of mixed vegetable seeds, that you might be able to grow in a Hydroponic Garden.
object_smelter							Alto Horno
object_smelter_description              Esta máquina de procesamiento industrial puede fundir minerales en lingotes de metal utilizables. Una vez instalado, haga clic en él para cambiar el tipo de mineral.
object_sewagepipe                       Tuberia de Aguas Residuales
object_sewagepipe_description           Esta tuberia descarga el desague de los pisos habitables. Luego, puedes llevar las aguas residuales a un tanque de almacenamiento y (eventualmente) reprocesarlas a agua limpia.  The Pipe MUST BE DIRECTLY UNDER THE HABITATION DECK to function.
object_sewagemachine					Máquina de tratamiento de residuos
object_sewagemachine_description        Toma aguas residuales del piso habitable, separa los solidos de los liquidos, y los recicla parcialmente. Este dispositivo produce agua sucia y composta.
object_waterpurifier					Purificador de Agua
object_waterpurifier_description        Toma agua sucia de la Máquina de tratamiento de residuos o del hielo natural, y la purifica, convirtiendola en agua limpia y segura.
object_oxygenmaker						Creador de Oxígeno
object_oxygenmaker_description          Usa energía elctrica para extraer Oxígeno del agua.
object_scrubber							CO2 Scrubber
object_scrubber_description             Extrae Dioxido de Carbono de la atmosfera. Su escape debe ser canalizado hacia un tanque o la maquina se atascará.
object_airreprocessor					Reprocesador de Aire
object_airreprocessor_description       Convierte Dioxido de Carbono en Oxígeno puro.
object_icegrinder                       Molino de hielo
object_icegrinder_description           Muele trozos gigantes de hielo en trozos pequeños, luego calienta el hielo hasta que se vuelve líquido. El agua resultante debe filtrarse antes de que sea segura para beber.
object_proximitymine                    Mina
object_gascollector                     Colector de Gas
object_gascollector_description         Una gran sistema de ventilacion exterior que aspira los gases del espacio. Muchos gases que se encuentran en las nebulosas se pueden usar para producir recursos útiles como combustible, celulas FTL y explosivos.
object_refinery                         Refinería
object_refinery_description             Una máquina industrial automática para refinar productos químicos y gases crudos.
object_chemicallab                      Laboratorio Químico
object_chemicallab_description          Un equipo científico complejo. Puede combinar múltiples entradas químicas diferentes (líquidos, gases y sólidos) en diferentes salidas. El usuario puede ciclar la receta activa haciendo clic en ella.
object_hyperspacecollector              Filtro Hyperespacial
object_hyperspacecollector_description  El Filtro Hyperespacial se coloca en la parte delantera de una nave y mira hacia la dirección del viaje. Durante el Hyperespacio, un fuerte campo magnético se proyecta hacia adelante, atrayendo grandes volúmenes de materia interestelar. Los isótopos recolectados de esta manera se pueden refinar en combustible FTL.
object_munitionsfactory                 Mesa de Municiones
object_munitionsfactory_description     Una mesa de trabajo donde un miembro experto de la tripulación puede fabricar diferentes tipos de munición para las armas de la nave. Utiliza metal y explosivos para producir balas, proyectiles de cañón de riel, municiones de cañón, etc.
object_hydroponics                      Granja Hidroponica
object_hydroponics_description          Un dispositivo de invernadero cerrado que se puede utilizar para cultivar plantas, con el fin de alimentar a la tripulación. Requiere composta y agua, y semillas para comenzar.  
object_fabricator                       Fabricador
object_assembler                        Mesa de Ensamblado
object_robotarm                         Brazo Robotico
object_robotarmshort                    Brazo Robotico Corto
object_robotarmsmart			Brazo Robotico Inteligente
object_track                            Cinta Transportadora
object_ruinedequipment                  Equipamiento en Ruinas
object_solarpanel                       Panel Solar
object_solarpanel_description           Estos deben instalarse fuera de su nave, con andamios como apoyo. Cada panel genera 10MW.

object_framecomponent                   Marco
object_motorcomponent                   Motor
object_coilcomponent                    Bobina de energía
object_lenscomponent                    Lente
object_stargatestructure                Estructura de Puerta Estelar
object_stargateresin                    Resina de Puerta Estelar
object_stargateactuator                 Actuador de Puerta Estelar
object_stargatereceiver                 Receptor de Puerta Estelar

object_sewage							Aguas Residuales
object_wastewater						Aguas Contaminadas
object_compost							Composta
object_carbondioxide					CO2

object_short_oxygen                     O2
object_short_ftlcharge                  FTL
object_short_bullets                    Ammo
object_short_railgunshell               Slugs
object_short_cannonshell                Shells
object_short_deuterium                  Dtrm

entity_unconscious						INCONSCIENTE
entity_dead								MUERTO
entity_suffocating						SOFOCANDOSE
entity_stunned							ATONTADO
entity_suitrequired						TRAJE REQUERIDO
entity_dehydrated						DESHIDRATADO
entity_fainted                          DESMAYADO
        
entity_death_injury                     Herida Fatal
entity_death_suffocation                Ahogado
entity_death_dehydration                Dehydration
entity_death_starvation                 Starvation
entity_death_co2poisoning               Carbon Dioxide
        
order_none								None
order_salvage						    Agarrar Chatarra
order_gather							Reúnir materiales
order_repairhull						Reparar Casco
order_shiftwork							Shift Work
order_suitson							Trajes Puestos
order_exteriorwork                      Trabajo Exterior
order_weaponsactive                     Fuego a Discrecion
order_fleetlogistics                    Logisticas de Flota
order_battlestations                    Estaciones de Combate
order_mining                            Minar

battle_title                            ESTACIONES
stations_title                          DE COMBATE

designation_civilian                    Civil
designation_crewquarters                Crew Quarters

loader_mode_stop                        Parar
loader_mode_load                        Cargar
loader_mode_unload                      Descargar


# =============================================================================
# Story stuff
# =============================================================================

pressanykey                             - continue -

opentextcrawl_1                         It is the 23rd century.  Humanity has colonised the stars.
opentextcrawl_2                         Millions of people now live off world, sometimes hundreds of light years from Earth.
opentextcrawl_3                         Word has reached Earth from one such colony. A dark anomaly has been seen, and cannot be explained.
opentextcrawl_4                         Where once there was a star, now there is nothing but a black void, slowly expanding.
opentextcrawl_5                         Those who live nearby call it THE COLLAPSE, and believe it will eventually consume the entire galaxy.
opentextcrawl_6                         There are few who believe them.
opentextcrawl_7                         Nevertheless, Earth has dispatched you and your crew in the science vessel PRAXIS to investigate.

mission_flightready_title               Make your new ship ready for flight
mission_flightready_description1        All ships must pass basic flight ready certification before being allowed on operations.
mission_flightready_description2        A ship requires each of the following capabilities in order to be certified 'Flight Ready':
mission_flightready_power_help          A reactor to generate power. Use a Fuel Loader to pipe fuel into the Reactor.
