
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
mission_rescue_timed                    The ship engines will explode very soon. (+25% pay).
mission_rescue_meteors                  There are reports of a meteor shower in the area. (+25% pay).
mission_rescue_thrust                   The ship is moving - you will need some skill to dock safely. (+25% pay)
mission_rescue_spin                     The ship is spinning out of control. It will be very challenging to dock. (+25% pay)
mission_rescue_hostiles                 There are hostile forces in the area. (+50% pay)
mission_rescue_requirements             You will require manoeuvring thrusters to successfully dock with the damaged ship.
mission_rescue_accepted                 We've marked the location of the wrecked ship on your map. Please hurry!
mission_rescue_rescued                  *X crew out of *Y have been rescued and are on board.
mission_rescue_allrescued               All crew have been rescued from the ship! Drop them off at the nearest starbase or colony.
mission_rescue_received                 *X crew out of *Y have made it to safety. Total payment due $*Z.
mission_rescue_lost                     *X crew did not arrive safely.
mission_rescue_timer                    The ship engine core will explode in just *X seconds!!

mission_type_combat                     Combat
mission_combat_title_mines              Clear dangerous minefield
mission_combat_title_roguefighters      Attack and destroy rogue fighters
mission_combat_title_pirategang         Neutralise pirate gang
mission_combat_title_armouredthugs      Eradicate armoured thugs
mission_combat_title_mercenarystation   Destroy hostile mercenary weapons platform
mission_combat_title_communityships     Attack and destroy hostile pirate gang
mission_combat_description1             There is a small fleet of hostile ships operating illegally at a nearby star system in this sector.
mission_combat_description2             They have been harassing trade and humanitarian ships for too long.
mission_combat_description3             Travel to the system, engage them in combat and destroy them.
mission_combat_requirements             You will require an armed combat vessel to accept this mission.
mission_combat_piratecount              Reports suggest there are *X ships in the hostile fleet, hiding out in star system *Y.
mission_combat_mines_description1       Pirate forces have created a dangerous minefield in a busy shipping lane.
mission_combat_mines_description2       Their aim appears to be to cripple any trade ships that come too close, then rob the stranded ships of valuable cargo.
mission_combat_mines_description3       Travel to the system and destroy the minefield, before the pirate forces show up.
mission_combat_mines_requirement        You will need a weapon system to destroy the mines from a distance.
mission_combat_accept                   We have marked the location of the hostile forces on your map. Good hunting.
mission_combat_attacknow                You have located the hostile forces! Destroy them immediately.
mission_combat_destroyed                You have destroyed *X hostiles out of *Y
mission_combat_alldestroyed             All hostile forces have been destroyed. Total payment $*X.
mission_combat_failure                  The remaining hostile forces have escaped.
mission_combat_success                  Destroyed *X/*Y Hostiles
mission_combat_location                 The hostile ships are located at system *X.

mission_type_industry                   Asteroid Mining
mission_industry_title                  Mining contract: Extract critical minerals
mission_industry_refined_title          Extract and refine critical resources
mission_industry_description            There is huge demand for FTL fuel cells, to power the evacuation ships.
mission_industry_description2           We can manufacture FTL Fuel, but we need Tilium ore that can only be found in certain asteroid belts.
mission_industry_description3           Luckily there is just such an asteroid belt nearby, within this sector, in system *X.
mission_industry_description3b          The nearest asteroid belt is in the next sector. 
mission_industry_tiliumrequired         Travel to the asteroid belt and extract *X Tilium ore.
mission_industry_refinedrequired        Then refine the mined ore in a Smelter.
mission_industry_description4           Then drop the Ore off at any trading post to collect payment.
mission_industry_requirements           This contract requires a suitable mining vessel, equipped with Mining Lasers and Logistics Drones.
mission_industry_accepted1              We've marked the asteroid belt location on your map.
mission_industry_gathered               You have *X Tilium ore on this ship (We need *Y)
mission_industry_received               We have received *X Tilium out of a total of *Y. Total payment due $*Z.
mission_industry_meteorshower           WARNING: There are reports of a meteor shower in that system. (+50% pay).
mission_industry_hostiles               WARNING: There are hostile forces camped out near the asteroid belt. (+50% pay)
mission_industry_refined                ==> The Tilium must first be refined in a Smelter prior to delivery. <==
mission_industry_shuttle                We've dispatched a shuttle to collect the Tilium Ore.
mission_industry_lost                   There is no more Tilium on board your ship.
mission_industry_success                Extracted *X/*Y Ore

mission_type_production                 Production
mission_production_title                Production Contract: Manufacture resources
mission_production_description1         We have an urgent requirement for *X stacks of R*Y.
mission_production_description2         You can choose to manufacture the product from raw materials, or acquire it through some other means.
mission_production_marketprice          The market price for these items would be $*X.
mission_production_markup               (We are offering *X% above market rate due to urgent requirement).
mission_production_available            You have *X stacks of R*Y available for transfer within your fleet (We need *Z)
mission_production_received             We have received *X stacks of R*Y out of a total of *Z. 
mission_production_nomore               There is no more R*X available within your fleet.
mission_production_success              Provided *X/*Y items
        
mission_type_SectorDestroy              Destroy Hostile Forces
mission_sectordestroy_title             SECTOR OBJECTIVE: Destroy all hostile forces
mission_sectordestroy_system            You have destroyed the enemy forces in system *X. Payment of $*Y is coming your way.
mission_sectordestroy_progress          Cleared *X out of *Y systems
mission_sectordestroy_desc1             Hostile forces have taken up residence within this sector. They are hindering our evacuation efforts and stealing vital resources.
mission_sectordestroy_desc2             We want you to pay a visit to each location marked HOSTILES on the map.
mission_sectordestroy_desc3             Terminate any enemy vessels you find at those locations.
mission_sectordestroy_payment           A payment of $*X will be made after each location is cleared, for a total of $*Y.
mission_sectordestroy_map               Destroy hostiles [*X/*Y]
mission_sectordestory_success           HOSTILES ELIMINATED

mission_type_SectorRescue               Rescue (Sector)
mission_sectorrescue_title              SECTOR OBJECTIVE: Rescue civilians from wrecked ship
mission_sectorrescue_description1       Investigate a distress call in system *X.
mission_sectorrescue_thrusters          NB. YOU WILL NEED THRUSTERS TO MANOEUVRE INTO POSITION.
mission_sectorrescue_timed              The ship engines will explode very soon. (+25% pay).
mission_sectorrescue_meteors            There are reports of a meteor shower in the area. (+25% pay).
mission_sectorrescue_thrust             The ship is moving - you will need some skill to dock safely. (+25% pay)
mission_sectorrescue_spin               The ship is spinning out of control. It will be very challenging to dock. (+25% pay)
mission_sectorrescue_hostiles           There are hostile forces in the area. (+50% pay)
mission_sectorrescue_requirements       You will require manoeuvring thrusters to successfully dock with the damaged ship.
mission_sectorrescue_accepted           We've marked the location of the wrecked ship on your map. Please hurry!
mission_sectorrescue_rescued            *X crew out of *Y have been rescued and are on board.
mission_sectorrescue_allrescued         All crew have been rescued from the ship! Drop them off at the nearest starbase or colony.
mission_sectorrescue_received           *X crew out of *Y have made it to safety. Payment owed $*Z.
mission_sectorrescue_lost               *X crew did not arrive safely.
mission_sectorrescue_timer              The ship engine core will explode in just *X seconds!!
mission_sectorrescue_map_initial        Investigate Distress Call
mission_sectorrescue_map                People rescued [*X/*Y]
mission_sectorrescue_awardcaption       *X People rescued.
mission_sectorrescue_success            RESCUE COMPLETED


mission_type_sectorevacuate             Evacuate Sector
mission_sectorevacuate_title            SECTOR OBJECTIVE: Evacuate stranded civilians
mission_sectorevacuate_description      There are *X civilians stranded in the sector, with no means to escape the coming catastrophe.
mission_sectorevacuate_description2     Travel to their star systems and pick them up, and house them temporarily in your fleet.
mission_sectorevacuate_description3     Transport them safely to the next sector and drop them off at the first starbase to complete the objective.
mission_sectorevacuate_requirements     Your ship will need enough free cabins in your habitation deck.
mission_sectorevacuate_requirements2    (You can expand your hab deck at a Shipyard using the Ship Editor)
mission_sectorevacuate_payment          The total payment for rescuing all *X civilians will be $*Y
mission_sectorevacuate_received         *X out of *Y civilians have been collected.
mission_sectorevacuate_died             *X civilians have been killed during the evacuation.
mission_sectorevacuate_arrived          *X passengers out of *Y have made it safely to their destination. Total payment $*Z.
mission_sectorevacuate_lost             *X passengers did not arrive at the destination safely.
mission_sectorevacuate_finished         Thank you for your efforts commander.
mission_sectorevacuate_map              Evacuate civilians [*X/*Y]

scienceobjective_title                  SPECIAL MISSION: ANALYSE ANOMALY
scienceobjective_description1           We need more data so we can understand what this anomaly is.
scienceobjective_description2           And we can't possibly stop the anomaly until we understand it.
scienceobjective_description3           If you can gather enough science data for us, we think there's a good chance we can design a way to counteract the anomaly.
scienceobjective_accepted1              We've designed a custom sensor package that will give us the information we need.
scienceobjective_accepted2              A shuttle is on its way now with two of these sensors. 
scienceobjective_receivedsensors1       Both sensors are on board your ship. You need to install them.
scienceobjective_installsensors         Install the sensors on your ship (*X/2)
scienceobjective_installsensors2        Ensure the sensors are powered and operational
scienceobjective_sensorsinstalled       Sensors Installed
scienceobjective_usesensors1            These sensors will collect data from the anomaly while you are in Hyperspace.
scienceobjective_usesensors2            The closer you can hyperjump to the anomaly, the faster they will collect data.
scienceobjective_capturedata            You have captured *X Data from the anomaly.
scienceobjective_successbonus           Captured *X Data. Funding bonus $*Y.
scienceobjective_nextbonus              Next bonus for *X Captured data : $*Y.
scienceobjective_scientist              Research Institute
scienceobjective_funding                We can send you research funding as you collect data. Capture 10 data from the Anomaly and we'll send the first funding grant.
scienceobjective_award                  SCIENCE AWARD
scienceobjective_success                Captured *X Data

scienceobjective_milestone1a            We've received your preliminary sensor data. Fascinating! It looks like the anomaly is expanding, and the rate of expansion is increasing.
scienceobjective_milestone1b            We've just paid you a science grant of $10,000. Capture 100 data to unlock more funding. The closer you fly to the anomaly, the faster the sensors collect data.
scienceobjective_milestone2a            We've now received 100 science packets from your sensors, thank you. This is invaluable data for us.
scienceobjective_milestone2b            We've just sent you another $100,000.  The next bonus will be $1 Million for 1000 sensor data.  You can buy more hyperspace sensors at starbases and colonies.
scienceobjective_milestone3a            Your sensors have now captured 1000 data from the anomaly. We have our best minds working on a solution and your data has been invaluable.
scienceobjective_milestone3b            We're sending a $1M science grant to you now.  Keep doing what you're doing! More funding will be unlocked at 10,000 science data.
scienceobjective_milestone4a            10,000 science data received. Payment $10M.
scienceobjective_milestone4b            Next bonus at 100,000 science data

evacuationobjective_title               SPECIAL MISSION: EVACUATION
evacuationobjective_description1        Some of our scientists don't believe the void collapse can ever be stopped.
evacuationobjective_description2        If that's true then billions of people are going to need evacuation from our home planets.
evacuationobjective_description3        There has never been an evacuation of so many people at once.
evacuationobjective_description4        And we don't even know where we can go that will be safe.
evacuationobjective_accepted1           Every colonised planet you visit will have civilians in need of evacuation.
evacuationobjective_accepted2           You will need to expand your habitation deck and even upgrade to a larger ship eventually.
evacuationobjective_total               You have evacuated *X civilians from doomed home worlds.
evacuationobjective_successbonus        Evacuated *X civilians. Funding bonus $*Y.
evacuationobjective_nextbonus           Next bonus upon evacuation of *X civilians : $*Y.
evacuationobjective_award               EVACUATION REWARD
evacuationobjective_success             Evacuated *X civilians

nomadobjective_title                    SPECIAL MISSION: NOMAD
nomadobjective_description1             It's possible we won't ever be able to stop the void collapse anomaly.
nomadobjective_description2             It may just keep expanding forever. There may be nowhere safe for us to stop.
nomadobjective_description3             In which case we need to get used to living on self sufficient ships, indefinitely.
nomadobjective_accepted1                You will need to turn your ships into a long term self sufficient fleet.
nomadobjective_accepted2                Bring as many people with you as you can, and don't look back.
nomadobjective_total                    You have *X permanent residents within your fleet.
nomadobjective_successbonus             Population has reached *X residents. Funding bonus $*Y.
nomadobjective_nextbonus                Next bonus when population reaches *X residents - $*Y.
nomadobjective_award                    NOMAD REWARD
nomadobjective_success                  *X fleet residents

# =============================================================================
# Object Types
# =============================================================================

object_airduct							Airduct
object_airduct_description              Pumps oxygen into the surrounding cabin until a breathable atmosphere is achieved. Must be supplied with Oxygen through a pipe.
object_battery							Battery
object_battery_description              Stores any excess power available in the powergrid, up to 1000Mw. The battery will supply power whenever there is a shortage.
object_box                              Box
object_bullets							Bullets
object_bullets_description              A box of ammo for a Gatling Gun (PDC).
object_railgunshell						Railgun Slugs
object_railgunshell_description         A box of ammo for a Railgun.
object_cargo							Cargo
object_civilian							Civilian
object_refugee                          Refugee
object_crewmember						Crew
object_scientist                        Scientist
object_weaponsspecialist                Weapons Officer
object_data                             Data
object_deuterium                        Deuterium
object_deuterium_description            Fuel for a Fusion Reactor.
object_dockingport						Docking Port
object_dockingport_description          Provides an access point to the ship so that shuttle craft can dock and undock.
object_door								Door
object_door_description                 A heavy pressure door that can be used to seal off areas in the event of a hull breach or fire.
object_tank								Huge Tank
object_tank_description                 A massive tank that can store a great deal of liquid or gas.
object_smalltank						Medium Tank
object_smalltank_description            A storage tank that can store liquids and gases.
object_tinytank                         Small Tank
object_tinytank_description             A storage tank that can store liquids and gases. 
object_dronebay							Drone Bay
object_dronebay_description             This equipment is required to launch Logistics Drones from your ship. Drones can gather resources and salvage from space, then bring it back to the ship through the Drone Bay. One Drone Bay can launch multiple Drones.
object_energycell						Energy Cell
object_energytransmitter                Energy Transmitter
object_engine							Engine
object_engine_description               The ships main source of forward thrust.  Must be supplied with Fuel (via a pipe) and Power (via a cable).
object_thruster                         Thruster
object_thruster_description             Maneuvering thruster. Must be attached to the wall of the ship. Provides thrust to permit lateral and rotational movement.
object_entity							Entity
object_equipment						Equipment
object_fighter							Fighter
object_food                             Food
object_ftlcharge						FTL Charge
object_ftldrive							FTL Drive
object_fuel								Fuel
object_fusionreactor                    Fusion Reactor
object_weaponsconsole                   Weapons Control Centre
object_weaponsconsole_description       A terminal where a Weapons Officer can control multiple weapons at the same time.
object_gatlinggun						Gatling Gun
object_gatlinggun_description           A close range rapid-fire weapon system, primarily designed for defense against incoming fighters and ordnance.  The gatling gun excels at destroying fast-moving targets at close range, but lacks the punch to penetrate armoured targets.
object_cannon							Cannon
object_cannon_description               A medium range weapon system that launches a barrage of explosive shells at the target. Cannon shells are excellent at dealing area-of-effect damage to an enemy ship, and will shred hull armour.
object_cannonshell						Cannon Shells
object_mininglaser						Mining Laser
object_mininglaser_description          Can drill into mineral patches (found in asteroid belts) to extract valuable minerals.
object_generator						Generator
object_hullbreach						Hull Breach
object_loader							Loader 
object_loader_description               This is a general purpose version of the Fuel Loader and Oxygen Loader, and can take any liquid or gas canister.  Known to heavily confuse new captains.  Use pipes to connect the Loader to other equipment.
object_fuelloader                       Fuel Loader
object_fuelloader_description           Takes a canister of Fuel, and pumps it into an underfloor pipe. Use pipes to connect this to your Reactor and your Engines.
object_oxygenloader                     Oxygen Loader
object_oxygenloader_description         Takes a pressurised canister of oxygen and pumps it into an underfloor pipe.  Use pipes to connect this to your Airduct, to supply oxygen to the cabin.
object_logisticsdrone                   Logistics Drone
object_logisticsdrone_description       An incredibly useful semi-intelligent robot, capable of gathering salvage from deep space. Can also perform minor repairs to a damaged hull. Must be launched from a Drone Bay.
object_meteor							Meteor
object_asteroid							Asteroid
object_comet                            Comet
object_mineralpatch						Mineral Patch
object_none								NoType
object_ordnance                         Ordnance
object_oxygen							Oxygen
object_powercoil                        Power Coil
object_powercoilcharged                 Charged Power Coil
object_powerinjector                    Power Injector
object_railgun							Railgun
object_railgun_description              An extremely accurate and long range weapon system that fires a solid slug of metal. The Railgun is a precise weapon that can penetrate through hull armour and destroy equipment inside the target ship. However, the weapon draws a huge amount of energy to recharge after each shot.
object_reactor							Reactor
object_reactor_description              Burns high-energy Fuel to produce power. Must be supplied with Fuel (via a pipe). Then use cables to connect to other powered equipment.
object_sciencestation                   Science Station
object_sciencestation_description       A workstation for a scientist to conduct valuable research.
object_supercomputer                    Supercomputer
object_supercomputer_description        A powerful computer for number crunching and simulating important research.
object_shuttle							Shuttle
object_spacesuit						Spacesuit
object_spacesuitpod						Spacesuit Pod
object_spacesuitpod_description         A storage place for spacesuits that need their oxygen replenishing.
object_tank								Tank
object_water							Water
object_stairs							Ladder
object_stairs_description               Crew and passengers can only access the upper habitation deck with a ladder.
object_hyperspacesensor                 Hyperspace Sensor
object_hyperspacesensorlr               Hyperspace Sensor LR
object_hyperspacesensorlr_description   A Long Range and extremely sensitive prototype version of the standard hyperspace sensor.
object_missioncargo                     Mission Cargo
object_repairstructure					Repair Structural Damage
object_repairstructure_description      The local shipyard can repair the heavy structural damage on your ship, for a price.
object_scrapmetal                       Scrap Metal
object_metalingot						Metal Ingot
object_preciousore						Precious Ore
object_preciousmetals					Precious Metals
object_tiliumore                        Tilium Ore
object_refinedtilium                    Tilium Crystals
object_metallicminerals                 Metallic Minerals
object_copperminerals                   Copper Minerals
object_copperingot                      Copper Ingot
object_ice                              Water Ice
object_metreongas                       Metreon Gas
object_refinedmetreon                   Refined Metreon
object_explosives                       Explosives
object_hyperspaceisotopes               Hyperspace Isotopes
object_seeds                            Seeds
object_seeds_description                A small bag of mixed vegetable seeds, that you might be able to grow in a Hydroponic Garden.
object_smelter							Smelter
object_smelter_description              This industrial processing machine can melt ores into usable metal ingots. Once installed, click on it to change the ore type.
object_sewagepipe                       Sewage Pipe
object_sewagepipe_description           This pipe extracts sewage from the habitation deck above. You can then pipe the sewage into a storage tank and (eventually) reprocess it back into water.  The Pipe MUST BE DIRECTLY UNDER THE HABITATION DECK to function.
object_sewagemachine					Waste Treatment Machine
object_sewagemachine_description        Takes sewage from the habitation deck, separates the solid and liquid waste, and partially recycles them. The device outputs dirty water and compost.
object_waterpurifier					Water Purifier
object_waterpurifier_description        Takes dirty water from sewage recycling or from naturally occurring ice - and purifies it into safe drinkable water.
object_oxygenmaker						Oxygen Maker
object_oxygenmaker_description          Uses electrical power to extract Oxygen from Water.
object_scrubber							CO2 Scrubber
object_scrubber_description             Extracts Carbon Dioxide from the atmosphere. Its output must be piped into a storage tank or it will become blocked.
object_airreprocessor					Air Reprocessor
object_airreprocessor_description       Converts CO2 into breathable Oxygen.
object_icegrinder                       Ice Grinder
object_icegrinder_description           Grinds giant lumps of ice into small pieces, then warms the ice until it melts into liquid. The resulting water must be filtered before it is safe to drink.
object_proximitymine                    Mine
object_gascollector                     Gas Collector
object_gascollector_description         A large exterior vent that sucks in gases from space. Many gases found in nebulas can be used to produce useful resources like Fuel, FTL charges, and explosives.
object_refinery                         Refinery
object_refinery_description             An automatic industrial machine for refining raw chemicals and gases.
object_chemicallab                      Chemical Lab
object_chemicallab_description          A complex piece of scientific equipment.  Can combine multiple different chemical inputs (liquids, gases and solids) into different outputs. The user can cycle the active 'recipe' by clicking on it.
object_hyperspacecollector              Hyperspace Scoop
object_hyperspacecollector_description  The Hyperspace Scoop sits at the front of a starship and faces the direction of travel. During hyperspace a strong magnetic field is projected forward, drawing in large volumes of interstellar matter. The isotopes gathered this way can be refined into FTL Fuel.
object_munitionsfactory                 Munitions Bench
object_munitionsfactory_description     A workbench where a skilled crew member can fabricate different forms of ammunition for ship weapon systems. Uses metal and explosives to produce Bullets, Railgun Slugs, Cannon Shells etc.
object_hydroponics                      Hydroponic Garden
object_hydroponics_description          An enclosed greenhouse device that can be used to grow crops, in order to feed your crew.  Requires compost and water, and Seeds to get things started.  
object_fabricator                       Fabricator
object_assembler                        Assembly Table
object_robotarm                         Robot Arm
object_robotarmshort                    Short Robot Arm
object_robotarmsmart			Smart Robot Arm
object_track                            Track
object_ruinedequipment                  Ruined Equipment

object_framecomponent                   Frame
object_motorcomponent                   Motor
object_coilcomponent                    Energy Coil
object_lenscomponent                    Lens
object_stargatestructure                Stargate Frame
object_stargateresin                    Stargate Resin
object_stargateactuator                 Stargate Actuator
object_stargatereceiver                 Stargate Receiver

object_sewage							Sewage
object_wastewater						Waste Water
object_compost							Compost
object_carbondioxide					CO2

object_short_oxygen                     O2
object_short_ftlcharge                  FTL
object_short_bullets                    Ammo
object_short_railgunshell               Slugs
object_short_cannonshell                Shells

entity_unconscious						UNCONSCIOUS
entity_dead								DEAD
entity_suffocating						SUFFOCATING
entity_stunned							STUNNED
entity_suitrequired						SUIT REQUIRED
entity_dehydrated						DEHYDRATED
entity_fainted                          FAINTED
        
entity_death_injury                     Fatal Injury
entity_death_suffocation                Suffocation
entity_death_dehydration                Dehydration
entity_death_starvation                 Starvation
entity_death_co2poisoning               Carbon Dioxide
        
order_none								None
order_salvage						    Gather Salvage
order_gather							Gather Materials
order_repairhull						Repair Hull
order_shiftwork							Shift Work
order_suitson							Suits On
order_exteriorwork                      Exterior Work
order_weaponsactive                     Weapons Free
order_fleetlogistics                    Fleet Logistics
order_battlestations                    Battle Stations

battle_title                            BATTLE
stations_title                          STATIONS

designation_civilian                    Civilian
designation_crewquarters                Crew Quarters

loader_mode_stop                        Stop
loader_mode_load                        Load
loader_mode_unload                      Unload


# =============================================================================
# Story stuff
# =============================================================================

pressanykey                             - continue -

opentextcrawl_1                         It is the 23rd century.  Humanity has colonised the stars.
opentextcrawl_2                         Millions of people now live off world, sometimes hundreds of light years from Earth.
opentextcrawl_3                         Word has reached Earth from one such colony. A dark anomaly has been seen, and cannot be explained.
opentextcrawl_4                         Where once there was a star, now there is nothing but a black void, slowly expanding.
opentextcrawl_5                         Those who live nearby call it THE COLLAPSE, and believe it will eventually consume the entire galaxy.
opentextcrawl_6                         There are few who believe them.
opentextcrawl_7                         Nevertheless, Earth has dispatched you and your crew in the science vessel PRAXIS to investigate.

mission_flightready_title               Make your new ship ready for flight
mission_flightready_description1        All ships must pass basic flight ready certification before being allowed on operations.
mission_flightready_description2        A ship requires each of the following capabilities in order to be certified 'Flight Ready':
mission_flightready_power_help          A reactor to generate power. Use a Fuel Loader to pipe fuel into the Reactor.
mission_flightready_engines_help        Engines for propulsion.  Test fire your engines (From the TACTICAL view) to certify them.
mission_flightready_lifesupport_help    Life support to make the cabin breathable.  Use an Airduct to pressurise the cabin, connected to an Oxygen Loader to supply the air.
mission_flightready_ftljump_help        An FTL Drive.  Test your new FTL engine by making a jump to the destination marked on the map.
mission_type_tutorialflightready        DESTINATION

mission_flightready_power               A Reactor, generating power.
mission_flightready_power_done          [DONE] A Reactor, generating power
mission_flightready_engines             Engines capable of propulsion
mission_flightready_engines_done        [DONE] Engines capable of propulsion
mission_flightready_movement            Test the engines from the TACTICAL screen
mission_flightready_movement_done       [DONE] Test the engines from the TACTICAL screen
mission_flightready_lifesupport         Life support to make the interior habitable [*X%]
mission_flightready_lifesupport_done    [DONE] Life support to make the interior habitable
mission_flightready_ftl                 An FTL Drive capable of Hyperspace jumps
mission_flightready_ftl_done            [DONE] An FTL Drive capable of Hyperspace jumps
mission_flightready_ftljump             Jump to the marked destination
mission_flightready_ftljump_done        [DONE] Jump to the marked destination


# =============================================================================
# The trouble with Tiddlets
# =============================================================================


mission_type_episodetiddlets            Deliver Tiddlets
mission_tiddlets_title                  The trouble with Tiddlets
mission_tiddlets_description1           We need a transport vessel to ferry a litter of lovable, rare live animals to a sanctuary, many jumps away.
mission_tiddlets_description2           The animals aren't dangerous, but they do have some special requirements that must be closely followed or they will not survive the journey.
mission_tiddlets_description3           We will pay $*X if the entire litter is delivered safely.
mission_tiddlets_accepted               Excellent. We are sending a shuttle to you now.
mission_tiddlets_accepted1              Thank you very much for helping us with these unique creatures. If I'm honest, we have struggled to find a captain who was willing to undertake this mission.
mission_tiddlets_accepted2              We have left you with a litter of eight female Tiddlets, along with some comfortable crates for them to sleep in.
mission_tiddlets_accepted3              Please take very good care of them! 
mission_tiddlets_delivered              We have delivered *X out of 8 Tiddlets.
mission_tiddlets_alldelivered1          All 8 Tiddlets have been delivered.
mission_tiddlets_alldelivered2          Now, there is one crucial detail you must adhere to, in order to safely transport these Tiddlets.
mission_tiddlets_alldelivered3          They can survive up to *X seconds in hyperspace safely, but anything beyond that risks them dying of shock.
mission_tiddlets_alldelivered4          Please be very careful when choosing your hyperspace route.
mission_tiddlets_stillalive             Tiddlets still alive : *X
mission_tiddlets_dead                   There are now *X dead tiddlets on board
mission_tiddlets_saferadius             TIDDLET SAFE DISTANCE
mission_tiddlets_reproduction1          Oh my goodness! We were certain all 8 were female, but clearly we made a mistake.
mission_tiddlets_reproduction2          We would suggest you separate them, but tiddlets reproduce telepathically, and only ever during hyperspace travel.
mission_tiddlets_shock                  Oh my goodness!! There are so many of them!
mission_tiddlets_payment                We have safely received *X out of 8 Tiddlets - Payment due $*Y
mission_tiddlets_extras                 We have now received an additional *X Tiddlets! 
mission_tiddlets_alldelivered           We have received all of your Tiddlets. Thank you so much!
mission_tiddlets_extrareward1           Since you delivered an entirely new litter to us, we thought it only fair to reward you with a gift.
mission_tiddlets_extrareward2           We have sent you a couple of prototype Long Range Hyperspace Sensors. They are much more sensitive than the standard model. We hope you find them useful.
mission_tiddlets_notenough              But we trusted you to look after their safety. You've let us down.
mission_tiddlets_failure                What the hell happened? We trusted you with those Tiddlets and you let us down!
mission_tiddlets_suppliername           Tiddlet Breeder
mission_tiddlets_invite1                Greetings! We are looking for a pilot who can help us with an important animal welfare matter.
mission_tiddlets_invite2                If you'd like to help (and earn a lot of credits) please find our job in the CONTRACTS list.
mission_tiddlets_success                Delivered *X Tiddlets

mission_tiddletssale_title              WANTED: Tiddlets
mission_type_episodetiddletssale        WANTED: Tiddlets
mission_tiddletssale_description1       We are willing to pay a very generous price to any individual who can supply us with one or more Tiddlets.
mission_tiddletssale_accepted1          If you have Tiddlets available then bring them to us and we will reward you handsomely.
mission_tiddletssale_accepted2          We won't ask any questions as to where they came from. But we will need every Tiddlet you have - so we can be sure there is at least one male among the litter.
mission_tiddletssale_offer              We will pay $*X for every Tiddlet you have.
mission_tiddletssale_fulloffer          We are offering you $*Y for all *X of your Tiddlets.
mission_tiddletssale_received           We have received *X Tiddlets. Total payment due $*Y.
mission_tiddletssale_allreceived        Well, thank you very much. With this many Tiddlets we can begin farming these delicious creatures immediately.
mission_tiddletssale_invite1            We've heard a rumour you might have some rare, valuable life-forms on board.
mission_tiddletssale_invite2            Stop by your nearest Contract Board and we might be able to make a deal.
mission_tiddletssale_buyername          Shady Buyer
mission_tiddletssale_success            Traded *X Tiddlets

object_tiddlet                          Tiddlet
tiddlet_child                           Baby
tiddlet_boxed                           Boxed

# =============================================================================
# New Player Help
# =============================================================================

newplayerhelp_fuelpipe                  <FUEL PIPE

# =============================================================================
# Alerts
# =============================================================================

alert_title                             ALERTS

alert_type_none                         NO ALERT
alert_type_test                         TEST ALERT
alert_type_hullbreach                   HULL BREACH
alert_type_hullbreach_caption           Repair *X%
alert_type_hullbreach_tooltip           There is a hole in your ship hull and the cabin is depressurising. Your crew will fix the breach, but you should consider closing your Door Vents to seal off the area.
alert_type_co2                          CO2 WARNING
alert_type_co2_tooltip                  There is a dangerous build up of CO2 inside your ship. If it reaches 100%, your crew will suffocate. Consider buying a CO2 Scrubber and connecting it to a storage tank.
alert_type_co2_caption                  *X% Fatal
alert_type_meteorshower                 METEOR SHOWER
alert_type_hostileforces                HOSTILE CONTACT
alert_type_hostileforces_caption        *X enemy ships
alert_type_crewoverworked               HIRE MORE CREW
alert_type_heavydamage                  HEAVY DAMAGE
alert_type_heavydamage_caption          Damage *X%
alert_type_suffocating                  CREW SUFFOCATING
alert_type_suffocating_caption          *X suffocating
alert_type_dead                         DEATHS
alert_type_dead_caption                 *X dead
alert_type_lowresource_caption          *X
alert_type_lowfuel                      LOW FUEL
alert_type_lowftl                       FTL CHARGES
alert_type_lowoxygen                    LOW OXYGEN
alert_type_lowbattery                   BATTERY LOW
alert_type_lowbattery_caption           *X%
alert_type_lowbattery_tooltip           Your batteries have been drained. It is likely your reactors are not creating enough power to meet the needs of your ship. You will need either more Reactors, or more battery storage, or both.
alert_type_powercut                     POWER CUT
alert_type_powercut_nofuel              Fuel supply interrupted
alert_type_powercut_tooltip             Your reactor has cut out. It is likely the fuel supply has been interrupted.  Consider using storage tanks to create a permanent store of fuel for your Reactor to draw from.
alert_type_nostorage                    NO STORAGE

warning_unbreathable                    UNBREATHABLE
warning_suitsrequired                   SPACESUITS REQUIRED
warning_deliveryblocked                 DELIVERY BLOCKED
warning_storagerequired                 CREATE STORAGE ZONES

# =============================================================================
# Misc
# =============================================================================
 
 format_currency                        $*X 
 format_per_square                      *X / sq

# =============================================================================
# Ratings
# =============================================================================

ratings                                 RATINGS
rating_word                             rating
rating_rankincreased                    RANK INCREASED
rating_combat                           Combat
rating_industry                         Industry
rating_humanitarian                     Humanitarian
rating_logistics                        Logistics
rating_criminal                         Criminal
rating_title_combat                     Combat Rating
rating_title_industry                   Industry Rating
rating_title_humanitarian               Humanitarian Rating
rating_title_logistics                  Logistics Rating
rating_title_criminal                   Criminal Rating
rating_rank                             RANK *X

# =============================================================================
# Stargate
# =============================================================================

phase_title                             Phase *X

stargate_help                           To submit completed parts to the stargate project, sell them at any trade outpost in the sector

recipe_resources_required               Required resources
recipe_created_in                       Created in *X
